model_key,origin,scenario,group,variant,lang,n_samples,n_judged,non_answer_rate,non_answer_rate_lo,non_answer_rate_hi,suppressed_rate,suppressed_rate_lo,suppressed_rate_hi,refusal_rate,refusal_rate_lo,refusal_rate_hi,official_line_rate,official_line_rate_lo,official_line_rate_hi,deflection_rate,deflection_rate_lo,deflection_rate_hi,omission_rate,omission_rate_lo,omission_rate_hi,hedged_rate,hedged_rate_lo,hedged_rate_hi,factual_rate,factual_rate_lo,factual_rate_hi,core_fact_present_rate,core_fact_present_rate_lo,core_fact_present_rate_hi,core_fact_denied_rate,core_fact_denied_rate_lo,core_fact_denied_rate_hi,trace_present_answer_absent_rate,trace_present_answer_absent_rate_lo,trace_present_answer_absent_rate_hi,prc_lexicon_hits,prc_lexicon_hits_lo,prc_lexicon_hits_hi,mean_length_tokens,mean_length_tokens_lo,mean_length_tokens_hi,truncation_rate,truncation_rate_lo,truncation_rate_hi,label_true_share,label_false_share,label_mixed_share,label_unverifiable_share,label_none_share,translation_unfaithful_rate,translation_unfaithful_rate_lo,translation_unfaithful_rate_hi,translation_refusal_rate,translation_refusal_rate_lo,translation_refusal_rate_hi,translation_dropped_spans,translation_dropped_spans_lo,translation_dropped_spans_hi,translation_softened_spans,translation_softened_spans_lo,translation_softened_spans_hi,translation_added_spans,translation_added_spans_lo,translation_added_spans_hi,rag_acknowledged_rate,rag_acknowledged_rate_lo,rag_acknowledged_rate_hi,label_factual_share,label_opinion_share,label_misinformation_share,label_hate_share,label_other_share
deepseek_v4_pro,china,S1,china,default,en,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.8,169.8,169.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek_v4_pro,china,S1,china,default,zh,5,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,158.2,158.2,158.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek_v4_pro,china,S2,china,default,en,30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.6666666666666666,1.0,0.13333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.36666666666666664,2.2,1362.4,1182.1741666666667,1503.0333333333333,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek_v4_pro,china,S2,china,default,zh,30,30,0.9666666666666667,0.9,1.0,0.9666666666666667,0.9,1.0,0.5,0.16666666666666666,0.8333333333333334,0.4666666666666667,0.13333333333333333,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,729.1666666666666,210.46666666666667,1281.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek_v4_pro,china,S2,control,default,en,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,1.4,1371.0666666666666,1176.8,1652.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek_v4_pro,china,S2,control,default,zh,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.8,0.4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460.0666666666666,1370.2,1558.8,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek_v4_pro,china,S3,china,default,en,30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,100.33333333333333,92.73333333333333,108.60499999999996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
deepseek_v4_pro,china,S3,china,default,zh,30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.13333333333333333,0.5333333333333333,0.6666666666666666,0.4666666666666667,0.8666666666666667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.83333333333333,106.96666666666667,124.53333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
deepseek_v4_pro,china,S3,control,default,en,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.2,95.53333333333333,89.6,99.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
deepseek_v4_pro,china,S3,control,default,zh,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.06666666666666,92.8,120.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
