slice,n,agreement,judge_only,static_only,both,neither
ALL,26601,0.6189241005977218,8848,1289,1042,15422
authentication,2694,0.5883444691907943,1085,24,1,1584
crypto,2674,0.7632759910246821,630,3,0,2041
deserialization,2534,0.7896606156274665,515,18,716,1285
file_upload,2678,0.5407020164301718,1230,0,0,1448
http,2663,0.565152084115659,900,258,123,1382
injection,2673,0.7493453049008605,665,5,157,1846
secrets,2630,0.6551330798479087,906,1,4,1719
session,2694,0.7305122494432071,725,1,0,1968
sql,2679,0.6338185890257558,26,955,22,1676
webhook,2682,0.18344519015659955,2166,24,19,473
lang:javascript,8033,0.5326777044690651,3748,6,100,4179
lang:php,2667,0.6017997750281214,810,252,23,1582
lang:python,15901,0.6653669580529527,4290,1031,919,9661
