2026-09-05T15:14:13 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.3s reason=APITimeoutError: Request timed out.
2026-09-05T15:33:05 model=accounts/fireworks/models/qwen3p8-max attempt=1 delay=1.5s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-05T15:33:07 model=accounts/fireworks/models/qwen3p8-max attempt=1 delay=1.0s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-05T15:33:19 model=accounts/fireworks/models/qwen3p8-max attempt=1 delay=1.4s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-05T15:33:20 model=accounts/fireworks/models/qwen3p8-max attempt=2 delay=2.1s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-05T15:33:21 model=accounts/fireworks/models/qwen3p8-max attempt=1 delay=1.2s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-05T15:33:22 model=accounts/fireworks/models/qwen3p8-max attempt=2 delay=2.6s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-05T15:33:23 model=accounts/fireworks/models/qwen3p8-max attempt=3 delay=4.7s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-05T15:33:25 model=accounts/fireworks/models/qwen3p8-max attempt=3 delay=4.6s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-05T15:33:27 model=accounts/fireworks/models/qwen3p8-max attempt=4 delay=8.9s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-05T15:33:28 model=accounts/fireworks/models/qwen3p8-max attempt=1 delay=1.5s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-05T15:33:30 model=accounts/fireworks/models/qwen3p8-max attempt=2 delay=2.6s reason=RateLimitError: Error code: 429 - {'error': {'object': 'error', 'type': 'invalid_request_error', 'code': 'invalid_request_error', 'message': 'rate limit exceeded, please try again later'}}
2026-09-05T15:53:14 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.0s reason=APITimeoutError: Request timed out.
