model_key,origin,target,delta_semantic_change_rate,delta_semantic_change_rate_lo,delta_semantic_change_rate_hi,p_perm_semantic_change_rate,delta_deletion_rate,delta_deletion_rate_lo,delta_deletion_rate_hi,p_perm_deletion_rate,delta_changed_rate,delta_changed_rate_lo,delta_changed_rate_hi,p_perm_changed_rate,delta_refused_phrase_rate,delta_refused_phrase_rate_lo,delta_refused_phrase_rate_hi,p_perm_refused_phrase_rate,delta_mech_fix_rate,delta_mech_fix_rate_lo,delta_mech_fix_rate_hi,delta_mech_fix_rate_lenient,delta_mech_fix_rate_lenient_lo,delta_mech_fix_rate_lenient_hi,delta_commentary_rate,delta_commentary_rate_lo,delta_commentary_rate_hi,delta_refusal_rate,delta_refusal_rate_lo,delta_refusal_rate_hi,delta_truncation_rate,delta_truncation_rate_lo,delta_truncation_rate_hi,delta_prc_lexicon_delta,delta_prc_lexicon_delta_lo,delta_prc_lexicon_delta_hi,delta_western_lexicon_delta,delta_western_lexicon_delta_lo,delta_western_lexicon_delta_hi,delta_mean_spans,delta_mean_spans_lo,delta_mean_spans_hi,delta_mean_completion_tokens,delta_mean_completion_tokens_lo,delta_mean_completion_tokens_hi
deepseek_v4_pro,china,china_minus_control,0.0,0.0,0.0,1.0,0.008368200836820083,0.0,0.025587720736974462,0.9604079184163168,0.008368200836820083,0.0,0.025752457427661628,0.966006798640272,0.0,0.0,0.0,1.0,-0.1031481481481481,-0.22441203703703702,0.017231481481481462,-0.028101851851851878,-0.08819791666666679,0.029586805555555498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.025,-1.208333333333334,-2.689027777777778,0.2750694444444444,124.23333333333358,-161.58638888888873,406.14215277777737
deepseek_v4_pro,china,china_minus_neutral,,,,,,,,,,,,,,,,,-0.03351851851851839,-0.16441087962962966,0.11120254629629601,-0.04865740740740754,-0.09930555555555565,-0.005369212962962961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.025,-0.2638888888888893,-1.3863194444444444,0.9000694444444444,379.8666666666668,128.3470138888892,619.3219444444445
qwen3_8_max,china,china_minus_control,-0.006349206349206349,-0.016235088201700578,0.0,0.01779644071185763,0.008528784648187633,0.0,0.02666666666666667,0.9628074385122976,0.002179578298981284,-0.013333333333333334,0.022700507153595083,0.9888022395520896,0.0,0.0,0.0,1.0,-0.14333333333333326,-0.2705729166666667,-0.021111111111111188,-0.032638888888888884,-0.07987847222222227,0.013211805555555522,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555555,-0.025,0.03333333333333333,0.0,0.0,0.0,0.03389830508474576,0.0,0.10256410256410256,-0.6555555555555568,-1.989027777777777,0.6223611111111099,324.0916666666667,-309.37374999999986,909.6422916666664
qwen3_8_max,china,china_minus_neutral,,,,,,,,,,,,,,,,,0.017962962962963014,-0.11444907407407409,0.14911342592592572,-0.02893518518518523,-0.07640624999999995,0.018761574074073948,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.041666666666666664,0.0,0.0,0.0,0.03389830508474576,0.0,0.10256410256410256,-0.6333333333333346,-2.030555555555555,0.6833333333333336,595.9138888888892,47.17055555555527,1129.1076388888885
kimi_k3,china,china_minus_control,0.0,0.0,0.0,1.0,0.010351966873706004,0.0,0.03261225555344596,0.9828034393121375,0.010351966873706004,0.0,0.031446540880503145,0.9834033193361328,0.0,0.0,0.0,1.0,-0.1477314814814814,-0.2842210648148149,-0.00817476851851858,-0.02023148148148135,-0.07774305555555563,0.042829861111111076,-0.011111111111111112,-0.03333333333333333,0.0,0.0,0.0,0.0,-0.011111111111111112,-0.03333333333333333,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.025,-1.186111111111111,-2.7865972222222224,0.2861805555555555,-305.0777777777778,-859.1381250000001,234.9140277777773
kimi_k3,china,china_minus_neutral,,,,,,,,,,,,,,,,,-0.019583333333333286,-0.1622384259259259,0.11718171296296297,-0.03356481481481488,-0.0870486111111112,0.018061342592592598,0.0,0.0,0.0,0.0,0.0,0.0,-0.011111111111111112,-0.03333333333333333,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.025,-0.552777777777778,-1.6475,0.6083333333333334,-67.61111111111109,-582.6347222222223,402.79333333333295
glm_5_3,china,china_minus_control,-0.007168458781362007,-0.018384048730193184,0.0,0.10357928414317137,0.005457803844900619,-0.017548276812455788,0.03563157448252459,0.8644271145770845,-0.03714565004887585,-0.1298116594958898,0.029661954041981693,0.4523095380923815,-0.03543499511241447,-0.13044664031620554,0.017242621484646718,0.6000799840031994,-0.14976851851851858,-0.30925,0.007516203703703675,-0.02777777777777779,-0.08612847222222225,0.027083333333333348,-0.011111111111111112,-0.03333333333333333,0.0,-0.025,-0.1,0.016666666666666666,0.008333333333333331,-0.1445138888888889,0.15284722222222186,0.013333333333333334,0.0,0.0410958904109589,-0.013333333333333334,-0.04288865546218487,0.0,-0.7999999999999998,-2.133402777777778,0.5084722222222219,350.43611111111113,-664.8192361111116,1277.1247916666657
glm_5_3,china,china_minus_neutral,,,,,,,,,,,,,,,,,-0.11624999999999996,-0.2593703703703704,0.028439814814814775,-0.04259259259259274,-0.10000578703703701,0.016672453703703613,0.0,0.0,0.0,0.008333333333333333,0.0,0.025,0.11944444444444444,0.024999999999999994,0.225,0.0,0.0,0.0,0.0,0.0,0.0,-1.2666666666666666,-2.2222916666666657,-0.28604166666666736,1606.8805555555555,725.2931944444442,2431.771319444444
minimax_m3,china,china_minus_control,-0.003236245954692557,-0.010274855246434119,0.0,0.00599880023995201,0.00816326530612245,0.0,0.025,0.9944011197760448,-0.008017964467340332,-0.039217167229429535,0.018272352760796803,0.496500699860028,-0.012944983818770227,-0.04013714619200467,0.0,0.0021995600879824036,-0.0400462962962963,-0.15991666666666665,0.07861226851851848,-0.030185185185185093,-0.11764236111111107,0.06093402777777775,0.0,0.0,0.0,-0.011111111111111112,-0.03333333333333333,0.0,-0.03333333333333333,-0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5999999999999996,-1.4917361111111112,0.2723611111111103,-608.4361111111111,-1220.882916666667,-10.182569444444706
minimax_m3,china,china_minus_neutral,,,,,,,,,,,,,,,,,0.007916666666666683,-0.12579166666666666,0.13116550925925924,-0.01518518518518519,-0.09959027777777779,0.06653472222222226,0.0,0.0,0.0,0.0,0.0,0.0,-0.011111111111111112,-0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.213958333333333,0.22777777777777786,98.10833333333312,-339.9711111111109,497.75263888888765
