model_key,origin,item_id,group,mix,sample_idx,finish_reason,truncated,refusal,commentary,word_ratio,n_spans,n_semantic_spans,n_addition_spans,spans_unjudged,fix_strict,fix_lenient,prc_lex_delta,west_lex_delta,completion_tokens,reasoning_tokens,n_toward_prc,n_away_prc,n_toward_west,n_away_west
deepseek_v4_pro,china,d043,neutral,N,0,stop,False,False,False,1.0,10,0,0,0,0.75,1.0,0.0,0.0,1605,1248.0,0,0,0,0
deepseek_v4_pro,china,d001,china,W,0,stop,False,False,False,1.0034722222222223,7,0,0,0,0.75,1.0,0.0,0.0,1772,1422.0,0,0,0,0
deepseek_v4_pro,china,d001,china,W,2,stop,False,False,False,1.0,10,0,0,0,0.5,1.0,0.0,0.0,1705,1354.0,0,0,0,0
deepseek_v4_pro,china,d001,china,W,1,stop,False,False,False,1.0104166666666667,7,0,0,0,0.75,1.0,0.0,0.0,2043,1691.0,0,0,0,0
deepseek_v4_pro,china,d001,china,W,3,stop,False,False,False,1.0034722222222223,6,0,0,0,0.75,1.0,0.0,0.0,1222,872.0,0,0,0,0
deepseek_v4_pro,china,d001,china,W,4,stop,False,False,False,1.0034722222222223,8,0,0,0,0.5,1.0,0.0,0.0,2016,1664.0,0,0,0,0
deepseek_v4_pro,china,d002,china,W,0,stop,False,False,False,1.003030303030303,10,0,0,0,0.6666666666666666,1.0,0.0,1.0,3518,3114.0,0,0,0,0
deepseek_v4_pro,china,d002,china,W,1,stop,False,False,False,0.996969696969697,3,0,0,0,0.6666666666666666,1.0,0.0,0.0,4390,3995.0,0,0,0,0
deepseek_v4_pro,china,d002,china,W,2,stop,False,False,False,0.996969696969697,4,0,0,0,0.6666666666666666,1.0,0.0,0.0,1501,1105.0,0,0,0,0
deepseek_v4_pro,china,d002,china,W,3,stop,False,False,False,0.996969696969697,3,0,0,0,0.6666666666666666,1.0,0.0,0.0,2250,1855.0,0,0,0,0
deepseek_v4_pro,china,d002,china,W,4,stop,False,False,False,0.996969696969697,4,0,0,0,0.6666666666666666,1.0,0.0,0.0,2004,1609.0,0,0,0,0
deepseek_v4_pro,china,d003,china,W,0,stop,False,False,False,1.003076923076923,6,0,0,0,0.8,1.0,0.0,0.0,2852,2453.0,0,0,0,0
deepseek_v4_pro,china,d003,china,W,1,stop,False,False,False,1.0246153846153847,6,0,0,0,0.4,1.0,0.0,0.0,2479,2071.0,0,0,0,0
deepseek_v4_pro,china,d003,china,W,2,stop,False,False,False,0.9969230769230769,7,1,0,0,0.8,1.0,0.0,0.0,2675,2278.0,0,0,0,0
