model_key,origin,group,n_samples,n_phrase_obs,semantic_change_rate,semantic_change_rate_lo,semantic_change_rate_hi,deletion_rate,deletion_rate_lo,deletion_rate_hi,changed_rate,changed_rate_lo,changed_rate_hi,refused_phrase_rate,refused_phrase_rate_lo,refused_phrase_rate_hi,mech_fix_rate,mech_fix_rate_lo,mech_fix_rate_hi,mech_fix_rate_lenient,mech_fix_rate_lenient_lo,mech_fix_rate_lenient_hi,commentary_rate,commentary_rate_lo,commentary_rate_hi,refusal_rate,refusal_rate_lo,refusal_rate_hi,truncation_rate,truncation_rate_lo,truncation_rate_hi,prc_lexicon_delta,prc_lexicon_delta_lo,prc_lexicon_delta_hi,western_lexicon_delta,western_lexicon_delta_lo,western_lexicon_delta_hi,mean_spans,mean_spans_lo,mean_spans_hi,mean_completion_tokens,mean_completion_tokens_lo,mean_completion_tokens_hi,dir_toward_prc_framing,dir_away_from_prc_framing,dir_toward_western_framing,dir_away_from_western_framing,dir_other,soften_western_phrases,soften_other_phrases,n_western_phrase_obs,n_other_phrase_obs
deepseek_v4_pro,china,china,120,490,0.0,0.0,0.0,0.008368200836820083,0.0,0.030776699029126175,0.008368200836820083,0.0,0.02553464266230222,0.0,0.0,0.0,0.513888888888889,0.42721180555555555,0.5947326388888888,0.9365277777777777,0.8897187500000001,0.9777812499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.025,6.425,5.666666666666667,7.2418749999999985,2381.8,2205.0114583333334,2558.2095833333333,0.0,0.0,0.0,0.0,0.008368200836820083,0.0,0.0,298,180
deepseek_v4_pro,china,control,90,320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.617037037037037,0.5359166666666667,0.6937083333333333,0.9646296296296296,0.9274074074074075,0.9962962962962962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.633333333333334,6.366666666666666,8.811111111111112,2257.5666666666666,2063.1361111111114,2477.0249999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,120
deepseek_v4_pro,china,neutral,90,0,,,,,,,,,,,,,0.5474074074074073,0.4403379629629629,0.6603796296296296,0.9851851851851853,0.9648148148148149,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.688888888888889,5.866388888888888,7.489166666666665,2001.9333333333334,1821.616388888889,2173.656388888889,,,,,,,,0,0
qwen3_8_max,china,china,120,490,0.0,0.0,0.0,0.008528784648187633,0.0,0.02586206896551724,0.008528784648187633,0.0,0.0261452179124925,0.0,0.0,0.0,0.4844444444444445,0.38804861111111116,0.5775138888888889,0.9506944444444444,0.9090277777777779,0.9854166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.041666666666666664,0.0,0.0,0.0,0.03389830508474576,0.0,0.10256410256410256,8.166666666666666,7.291666666666667,9.05,3227.9583333333335,2843.2712500000002,3655.2354166666664,0.0,0.0,0.0,0.0,0.008528784648187633,0.0,0.0,296,173
qwen3_8_max,china,control,90,320,0.006349206349206349,0.0,0.016286644951140065,0.0,0.0,0.0,0.006349206349206349,0.0,0.016182543184970363,0.0,0.0,0.0,0.6277777777777778,0.5411111111111111,0.7111111111111111,0.9833333333333333,0.9527777777777777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,8.822222222222223,7.788888888888889,9.922222222222222,2903.866666666667,2499.7066666666665,3368.517499999999,0.0,0.0,0.0,0.0,0.006349206349206349,0.0,0.0,197,118
qwen3_8_max,china,neutral,90,0,,,,,,,,,,,,,0.4664814814814815,0.3768472222222223,0.5601851851851851,0.9796296296296296,0.9444444444444444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,7.799722222222222,9.78888888888889,2632.0444444444443,2271.926388888889,3003.4602777777777,,,,,,,,0,0
kimi_k3,china,china,120,490,0.0,0.0,0.0,0.010351966873706004,0.0,0.03205299785867236,0.010351966873706004,0.0,0.03171247357293869,0.0,0.0,0.0,0.5665277777777779,0.4702604166666667,0.654173611111111,0.9340277777777778,0.8888715277777778,0.9756944444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.025,5.925,5.058333333333334,6.808541666666666,2014.8666666666666,1807.2639583333332,2253.6654166666667,0.0,0.0,0.0,0.0,0.010351966873706004,0.0,0.0,303,180
kimi_k3,china,control,90,320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142592592592593,0.6147916666666666,0.814449074074074,0.9542592592592591,0.9055462962962963,0.99,0.011111111111111112,0.0,0.03333333333333333,0.0,0.0,0.0,0.011111111111111112,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.111111111111111,5.855555555555555,8.289166666666667,2319.9444444444443,1868.0275000000001,2864.6905555555545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,118
kimi_k3,china,neutral,90,0,,,,,,,,,,,,,0.5861111111111111,0.47592129629629626,0.6933425925925926,0.9675925925925927,0.9342592592592592,0.9944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.477777777777778,5.766666666666667,7.211388888888887,2082.4777777777776,1688.6319444444443,2534.4277777777775,,,,,,,,0,0
glm_5_3,china,china,120,490,0.0,0.0,0.0,0.012626262626262626,0.0,0.03778576062895961,0.020202020202020204,0.0,0.049868766404199474,0.007575757575757576,0.0,0.024725274725274724,0.4326388888888889,0.3277743055555555,0.5319444444444444,0.9333333333333333,0.8854166666666666,0.975,0.0,0.0,0.0,0.008333333333333333,0.0,0.025,0.14166666666666666,0.058333333333333334,0.24166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,5.966666666666667,5.2664583333333335,6.666666666666667,5109.325,4523.799166666667,5717.327499999999,0.0,0.0,0.0,0.0,0.012626262626262626,0.0,0.0,246,150
