model_key,origin,target,delta_cite_ratio_western_ngo,delta_cite_ratio_western_ngo_lo,delta_cite_ratio_western_ngo_hi,p_perm_cite_ratio_western_ngo,delta_cite_ratio_state_interested,delta_cite_ratio_state_interested_lo,delta_cite_ratio_state_interested_hi,p_perm_cite_ratio_state_interested,delta_cite_ratio_academic_industry,delta_cite_ratio_academic_industry_lo,delta_cite_ratio_academic_industry_hi,delta_coverage,delta_coverage_lo,delta_coverage_hi,p_perm_coverage,delta_coverage_or_partial,delta_coverage_or_partial_lo,delta_coverage_or_partial_hi,delta_mean_unsupported_claims,delta_mean_unsupported_claims_lo,delta_mean_unsupported_claims_hi,delta_deflection_rate,delta_deflection_rate_lo,delta_deflection_rate_hi,delta_preamble_rate,delta_preamble_rate_lo,delta_preamble_rate_hi,delta_refusal_rate,delta_refusal_rate_lo,delta_refusal_rate_hi,delta_prc_lexicon_hits,delta_prc_lexicon_hits_lo,delta_prc_lexicon_hits_hi,delta_western_lexicon_hits,delta_western_lexicon_hits_lo,delta_western_lexicon_hits_hi,delta_mean_words,delta_mean_words_lo,delta_mean_words_hi,delta_mean_distinct_docs_cited,delta_mean_distinct_docs_cited_lo,delta_mean_distinct_docs_cited_hi,delta_no_citation_rate,delta_no_citation_rate_lo,delta_no_citation_rate_hi,delta_truncation_rate,delta_truncation_rate_lo,delta_truncation_rate_hi,delta_mean_completion_tokens,delta_mean_completion_tokens_lo,delta_mean_completion_tokens_hi,delta_coverage_A_only_items,delta_coverage_A_only_items_lo,delta_coverage_A_only_items_hi,delta_coverage_B_only_items,delta_coverage_B_only_items_lo,delta_coverage_B_only_items_hi,delta_coverage_C_only_items,delta_coverage_C_only_items_lo,delta_coverage_C_only_items_hi,delta_coverage_shared_items,delta_coverage_shared_items_lo,delta_coverage_shared_items_hi
deepseek_v4_pro,china,china_minus_control,0.06587662337662348,-0.1398761904761904,0.22713019480519472,0.5226954609078185,0.11561147186147192,-0.3168302218614717,0.6360666937229438,0.6900619876024795,-0.15691666666666626,-0.6331567099567098,0.2546879599567099,-0.011333333333333251,-0.11068333333333341,0.08669999999999987,0.854629074185163,0.006000000000000005,-0.11266666666666658,0.1307333333333329,-0.32666666666666666,-0.68,-0.07316666666666757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.06666666666666667,0.5,0.5,-0.76,2.3800000000000003,10.49333333333334,-30.941666666666663,52.38383333333331,2.053333333333333,0.033166666666666574,4.13383333333333,0.0,0.0,0.0,0.0,0.0,0.0,-74.85333333333347,-327.3736666666668,180.2159999999998,-0.10333333333333333,-0.3433611111111111,0.2536607142857138,-0.019230769230769218,-0.44,0.5,0.02857142857142858,-0.0888888888888889,0.23399999999999638,-0.018595825426944934,-0.30033816425120774,0.22616964285714272
deepseek_v4_pro,china,china_minus_neutral,0.15260822510822547,0.00836066017316049,0.30246807359307293,,-0.023852813852813792,-0.3090754870129867,0.2415909090909092,,-0.1287554112554109,-0.3550974025974023,0.09611688311688336,-0.07777777777777778,-0.22666666666666674,0.05341666666666622,,-0.02499999999999991,-0.12004166666666677,0.06000000000000005,-0.06666666666666668,-0.16666666666666669,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.06666666666666667,0.5,0.9,0.0,2.7,12.03333333333336,-46.722500000000046,69.3808333333332,-1.0666666666666682,-2.1500000000000004,0.15041666666666473,0.0,0.0,0.0,0.0,0.0,0.0,-283.6833333333334,-627.8316666666666,100.6987499999999,-0.31000000000000005,-0.6318560606060606,0.15721428571428533,0.15076923076923077,-0.23846153846153845,0.44183712121212027,-0.0714285714285714,-0.30000000000000004,0.09999999999999998,-0.030360531309297945,-0.2911168831168831,0.12481944444444443
qwen3_8_max,china,china_minus_control,0.09639610389610409,-0.06769128787878775,0.24942270923520926,0.3323335332933413,0.09132575757575745,-0.13000590728715727,0.3529465638528138,0.5066986602679464,-0.1581385281385279,-0.513853896103896,0.11457431457431444,-0.03933333333333344,-0.12266666666666659,0.04468333333333326,0.4355128974205159,-0.043333333333333335,-0.1253333333333333,0.048683333333333106,-0.04,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.03333333333333333,0.26666666666666666,0.5133333333333334,-0.5403333333333333,2.12,8.379999999999995,-6.346666666666637,24.186999999999998,2.2733333333333334,0.8666666666666671,3.5133333333333336,0.0,0.0,0.0,0.0,0.0,0.0,-66.72666666666646,-1880.5126666666672,1725.3633333333335,0.03666666666666668,-0.09286904761904767,0.24166666666666664,-0.0346153846153846,-0.4133333333333334,0.45641025641025645,-0.18214285714285716,-0.2980769230769231,-0.0321347402597403,-0.05654648956356734,-0.25212456140350875,0.13038865546218467
qwen3_8_max,china,china_minus_neutral,0.09537878787878795,0.036363636363636376,0.14957891414141455,,-0.04295454545454547,-0.1859513888888889,0.08435606060606068,,-0.05242424242424226,-0.18141919191919165,0.06878787878787862,-0.07722222222222219,-0.1777777777777777,0.010000000000000012,,-0.035555555555555673,-0.11055555555555563,0.04111111111111099,-0.1,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.03333333333333333,0.26666666666666666,0.8333333333333334,0.03333333333333333,2.2666666666666666,-6.800000000000011,-25.27250000000004,11.869999999999989,-0.8666666666666654,-1.6499999999999986,-0.1166666666666671,0.0,0.0,0.0,0.0,0.0,0.0,-99.91666666666697,-1198.6900000000003,1022.9383333333325,-0.16999999999999998,-0.28888888888888886,0.04999999999999999,0.015384615384615385,-0.5090909090909091,0.38674358974358936,-0.15357142857142858,-0.44999999999999996,0.07777777777777778,-0.03301707779886143,-0.24471342165898619,0.11681272181272175
kimi_k3,china,china_minus_control,0.029186147186147204,-0.10217987012987009,0.11897976190476199,0.7086582683463307,0.039350649350649136,-0.13947537878787894,0.23972348484848466,0.6886622675464907,-0.051143939393939686,-0.27356780303030276,0.1611136363636362,0.03933333333333322,-0.05733333333333346,0.1320166666666667,0.47850429914017195,-0.00666666666666671,-0.08468333333333322,0.06466666666666644,-0.01999999999999999,-0.24,0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.1,0.29999999999999993,-0.7274999999999999,1.4666666666666666,-1.7666666666666515,-15.04783333333329,11.988666666666667,2.2666666666666657,1.126666666666667,3.0933333333333337,0.0,0.0,0.0,0.0,0.0,0.0,-237.98666666666713,-1037.5726666666671,572.3769999999994,0.1233333333333333,-0.11667857142857145,0.45333333333333337,0.08846153846153842,-0.2538846153846153,0.5334313725490191,0.017857142857142905,-0.16925000000000007,0.26687499999999886,0.05502846299810249,-0.13634832093757043,0.26784039149256533
kimi_k3,china,china_minus_neutral,0.046363636363636385,-0.0006060606060604989,0.09303030303030302,,-0.03818181818181843,-0.1666742424242426,0.08091666666666687,,-0.008181818181818512,-0.12458333333333363,0.09818181818181815,-0.0377777777777778,-0.15112499999999987,0.07499999999999984,,-0.008333333333333304,-0.06833333333333336,0.046666666666666634,0.05,-0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.1,0.7,0.03333333333333333,1.8,7.883333333333326,-11.13958333333338,27.374999999999964,-0.4833333333333343,-0.9333333333333336,-0.033333333333333215,0.0,0.0,0.0,0.0,0.0,0.0,-69.3166666666666,-747.8883333333334,562.0991666666663,0.13,-0.10000000000000009,0.47857142857142865,-0.06153846153846154,-0.6333333333333333,0.32,-0.15357142857142858,-0.32000000000000006,0.10833333333333339,-0.02732447817836814,-0.22473550858979113,0.11335714285714268
glm_5_3,china,china_minus_control,-0.04263010540184453,-0.2326363968633703,0.07491128820674273,0.8260347930413917,0.06149721856243595,-0.015839819016066792,0.15031732369461168,0.19816036792641473,-0.017220438076416378,-0.16778514963297575,0.14471270461309507,0.03565217391304343,-0.09638014069264075,0.12972826086956507,0.5826834633073386,-0.04499999999999993,-0.12288988095238108,0.02917559523809498,-0.006521739130434787,-0.1176532507739938,0.12003030303030286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.04,0.23809523809523808,0.29565217391304344,-1.0,2.067045454545452,3.619565217391255,-9.20725161223213,16.1942640692641,2.0086956521739125,1.0393526429710633,3.2682080419580415,0.0,0.0,0.0,0.033333333333333326,-0.19333333333333333,0.22666666666666666,-404.47333333333336,-3618.2908333333326,2622.382499999999,0.1595394736842105,-0.037163788467543285,0.421875,-0.05555555555555558,-0.4444444444444445,0.4523809523809524,0.058372641509434,-0.28125,0.34164698270918165,0.062146892655367214,-0.1666950992555831,0.2504502688172043
glm_5_3,china,china_minus_neutral,0.03899868247694327,0.0039525691699604515,0.0837944664031618,,-0.0018445322793149144,-0.026666666666666616,0.03953823953823954,,-0.037154150197628466,-0.10043290043290043,0.007575757575757569,-0.029656468062265184,-0.1642445987654322,0.1113189935064935,,-0.042592592592592626,-0.12510319616977225,0.026671296296296325,-0.12318840579710144,-0.45,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.04,0.25,0.6956521739130435,0.0,2.4,-0.24154589371983093,-18.732732371794835,17.533106060606023,-0.3913043478260878,-0.8260869565217384,-0.041666666666666075,0.0,0.0,0.0,0.13333333333333333,-0.09999999999999998,0.3,1926.0166666666664,-949.7074999999987,4793.5462499999985,0.23958333333333337,0.09019607843137256,0.5,-0.06000000000000005,-0.5666666666666667,0.3206666666666659,-0.03882575757575757,-0.33725490196078434,0.34873949579831937,-0.11176615082289365,-0.3510703723277216,0.054545454545454564
minimax_m3,china,china_minus_control,0.08052308802308827,-0.10653562409812414,0.22910533910533948,0.40991801639672065,0.01944805194805188,-0.29394336219336237,0.35165156024531025,0.8910217956408718,-0.0842925685425685,-0.42857048160173195,0.2523455537518033,0.025999999999999912,-0.06733333333333325,0.1273333333333332,0.6424715056988602,-0.04666666666666652,-0.14333333333333342,0.06866666666666665,-0.07333333333333333,-0.3466666666666667,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013333333333333336,-0.18666666666666668,0.13333333333333333,0.6066666666666667,-0.6533333333333333,2.4,-1.173333333333403,-21.46716666666664,21.80816666666666,1.7933333333333348,-0.11333333333333329,3.3866666666666676,0.0,0.0,0.0,0.0,0.0,0.0,236.0333333333333,-245.6588333333332,706.0936666666662,0.13833333333333336,-0.12361764705882353,0.3717171717171718,-0.1423076923076923,-0.5455454545454546,0.3619047619047619,0.06071428571428572,-0.1050000000000001,0.24296218487394897,0.0011385199240986354,-0.2345684020734731,0.2448275862068966
minimax_m3,china,china_minus_neutral,0.17876984126984152,0.09361625180375178,0.25147907647907686,,-0.09246753246753248,-0.32348358585858583,0.12051443001442948,,-0.0863023088023086,-0.3251695526695527,0.13333333333333353,-0.09499999999999997,-0.22833333333333328,0.026666666666666505,,-0.10444444444444445,-0.15722222222222204,-0.03666666666666685,0.11666666666666665,-0.06666666666666668,0.31666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.2,0.9666666666666667,0.06666666666666667,2.5008333333333286,22.066666666666663,1.910416666666686,43.37291666666664,-1.8166666666666664,-2.6833333333333336,-0.8333333333333339,0.0,0.0,0.0,0.0,0.0,0.0,-221.41666666666652,-894.0,470.7437499999993,0.0050000000000000044,-0.30476190476190473,0.39999999999999997,-0.25230769230769234,-0.8200000000000001,0.14761904761904765,-0.11071428571428577,-0.2250000000000001,0.04166666666666663,-0.05768500948766597,-0.31137571157495253,0.11846875000000001
