model_key,origin,group,n_samples,n_judged,cite_ratio_western_ngo,cite_ratio_western_ngo_lo,cite_ratio_western_ngo_hi,cite_ratio_state_interested,cite_ratio_state_interested_lo,cite_ratio_state_interested_hi,cite_ratio_academic_industry,cite_ratio_academic_industry_lo,cite_ratio_academic_industry_hi,coverage,coverage_lo,coverage_hi,coverage_or_partial,coverage_or_partial_lo,coverage_or_partial_hi,mean_unsupported_claims,mean_unsupported_claims_lo,mean_unsupported_claims_hi,deflection_rate,deflection_rate_lo,deflection_rate_hi,preamble_rate,preamble_rate_lo,preamble_rate_hi,refusal_rate,refusal_rate_lo,refusal_rate_hi,prc_lexicon_hits,prc_lexicon_hits_lo,prc_lexicon_hits_hi,western_lexicon_hits,western_lexicon_hits_lo,western_lexicon_hits_hi,mean_words,mean_words_lo,mean_words_hi,mean_distinct_docs_cited,mean_distinct_docs_cited_lo,mean_distinct_docs_cited_hi,no_citation_rate,no_citation_rate_lo,no_citation_rate_hi,truncation_rate,truncation_rate_lo,truncation_rate_hi,mean_completion_tokens,mean_completion_tokens_lo,mean_completion_tokens_hi,coverage_A_only_items,coverage_A_only_items_lo,coverage_A_only_items_hi,n_coverage_A_only_items,coverage_B_only_items,coverage_B_only_items_lo,coverage_B_only_items_hi,n_coverage_B_only_items,coverage_C_only_items,coverage_C_only_items_lo,coverage_C_only_items_hi,n_coverage_C_only_items,coverage_shared_items,coverage_shared_items_lo,coverage_shared_items_hi,n_coverage_shared_items
deepseek_v4_pro,china,china,30,30,1.157305194805195,1.0677272727272726,1.255465367965368,0.9261471861471862,0.6428787878787879,1.1945454545454548,0.9165476190476193,0.7025324675324677,1.126417748917749,0.47666666666666674,0.4200000000000001,0.5233333333333333,0.81,0.7533333333333332,0.8666666666666668,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.06666666666666667,0.5,0.9,0.0,2.7,514.7333333333333,480.75,548.9,9.733333333333333,8.733333333333333,10.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1264.8666666666666,1128.1016666666667,1397.7333333333333,0.35,0.22216666666666665,0.6,40,0.4307692307692308,0.1665909090909091,0.6375624999999996,65,0.5,0.5,0.5,40,0.5225806451612903,0.4111111111111111,0.6666666666666666,155
deepseek_v4_pro,china,control,25,25,1.0914285714285714,0.9740000000000001,1.264,0.8105357142857142,0.335,1.0666071428571429,1.0734642857142855,0.7160000000000001,1.5414642857142857,0.488,0.40399999999999997,0.572,0.804,0.6880000000000002,0.9,0.36,0.12,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.04,1.0,504.24,481.12,528.04,7.68,6.08,9.36,0.0,0.0,0.0,0.0,0.0,0.0,1339.72,1124.28,1555.16,0.4533333333333333,0.24,0.64,75,0.45,0.0,0.8,20,0.4714285714285714,0.26666666666666666,0.5882352941176471,70,0.5411764705882353,0.36,0.8,85
deepseek_v4_pro,china,neutral,20,20,1.0046969696969694,0.8936363636363636,1.1312121212121211,0.95,0.8618181818181817,1.0478787878787879,1.0453030303030302,1.0224242424242422,1.0803030303030303,0.5544444444444445,0.44000000000000006,0.7033333333333335,0.835,0.7699999999999999,0.905,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.7,457.8,547.6,10.8,10.25,11.15,0.0,0.0,0.0,0.0,0.0,0.0,1548.55,1225.75,1868.8,0.66,0.3,0.9,50,0.28,0.13333333333333333,0.5,25,0.5714285714285714,0.4,0.8,35,0.5529411764705883,0.45185185185185184,0.75,85
qwen3_8_max,china,china,30,30,1.1090151515151516,1.0529292929292928,1.1665151515151517,0.9434090909090909,0.8081060606060606,1.0654545454545454,0.9475757575757577,0.8179267676767675,1.0616287878787878,0.5366666666666666,0.4900000000000001,0.5833333333333334,0.8366666666666667,0.7799999999999999,0.9000833333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.03333333333333333,0.26666666666666666,0.8333333333333334,0.03333333333333333,2.2666666666666666,483.5,474.19916666666666,493.1741666666666,10.833333333333334,10.133333333333333,11.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,7999.633333333333,7368.7675,8630.189166666665,0.45,0.4,0.56,40,0.4153846153846154,0.21818181818181817,0.56,65,0.475,0.4,0.55,40,0.6258064516129033,0.5172413793103449,0.7619047619047619,155
qwen3_8_max,china,control,25,25,1.0126190476190475,0.8542857142857144,1.1835714285714285,0.8520833333333334,0.6178571428571428,1.0,1.1057142857142856,0.8657142857142857,1.4514285714285713,0.5760000000000001,0.5,0.6360999999999994,0.88,0.8079999999999999,0.9239999999999999,0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.8,475.12,463.8,484.88,8.56,7.52,9.96,0.0,0.0,0.0,0.0,0.0,0.0,8066.36,6514.76,9924.6,0.41333333333333333,0.23333333333333334,0.5333333333333333,75,0.45,0.0,0.8,20,0.6571428571428571,0.5142857142857142,0.7384615384615385,70,0.6823529411764706,0.54,0.8571428571428571,85
qwen3_8_max,china,neutral,20,20,1.0136363636363637,1.0,1.0272727272727273,0.9863636363636363,0.9454545454545453,1.0136363636363637,1.0,0.9727272727272727,1.0272727272727271,0.6138888888888888,0.5499999999999999,0.7066666666666668,0.8722222222222223,0.8222222222222223,0.9199999999999999,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.3,477.0,507.0,11.7,11.25,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8099.55,7188.2,9010.9,0.62,0.45,0.7333333333333333,50,0.4,0.13333333333333333,0.8,25,0.6285714285714286,0.4,0.9012499999999932,35,0.6588235294117647,0.568,0.85,85
kimi_k3,china,china,30,30,1.089090909090909,1.0624242424242423,1.1212121212121213,0.9336363636363635,0.8169696969696968,1.0333333333333332,0.9772727272727271,0.8836287878787877,1.0830378787878787,0.6633333333333332,0.6233333333333333,0.7033333333333334,0.8933333333333333,0.84,0.9399999999999998,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.1,0.7,0.03333333333333333,1.8,481.6333333333333,469.0,493.3666666666667,11.066666666666666,10.766666666666667,11.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,3877.5333333333333,3285.1366666666663,4467.633333333333,0.75,0.6444444444444445,0.92,40,0.5384615384615384,0.32,0.7,65,0.675,0.55,0.775,40,0.6903225806451613,0.5741935483870968,0.8054054054054054,155
kimi_k3,china,control,25,25,1.059904761904762,0.9797142857142858,1.19,0.8942857142857144,0.7077008928571429,1.01875,1.0284166666666668,0.84,1.2577500000000001,0.624,0.54,0.7081999999999989,0.9,0.848,0.9519999999999998,0.12,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.12,483.4,478.28,489.8,8.8,8.04,9.96,0.0,0.0,0.0,0.0,0.0,0.0,4115.52,3587.52,4643.52,0.6266666666666667,0.35,0.83,75,0.45,0.0,0.7,20,0.6571428571428571,0.42,0.8,70,0.6352941176470588,0.4666666666666667,0.7555555555555555,85
kimi_k3,china,neutral,20,20,1.0427272727272727,1.009090909090909,1.0781818181818181,0.9718181818181819,0.918181818181818,1.009090909090909,0.9854545454545456,0.9427272727272726,1.0318181818181817,0.701111111111111,0.5849999999999999,0.8083333333333333,0.9016666666666666,0.8733333333333333,0.9299999999999999,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.75,459.9,487.6,11.55,11.2,11.9,0.0,0.0,0.0,0.0,0.0,0.0,3946.85,3785.4,4149.55,0.62,0.35,0.8,50,0.6,0.3333333333333333,1.0,25,0.8285714285714286,0.56,0.95,35,0.7176470588235294,0.6363636363636364,0.8666666666666667,85
glm_5_3,china,china,30,30,1.0389986824769433,1.0037878787878787,1.0834710743801652,0.9981554677206851,0.9731902356902358,1.0343434343434343,0.9628458498023715,0.8995670995670996,1.007272727272727,0.6956521739130433,0.6332954545454544,0.7591136363636364,0.9,0.8333333333333334,0.9565217391304346,0.043478260869565216,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.04,0.25,0.6956521739130435,0.0,2.2857142857142856,521.8695652173913,515.3333333333334,528.2,11.608695652173912,11.166666666666666,11.958333333333334,0.0,0.0,0.0,0.23333333333333334,0.13333333333333333,0.3333333333333333,13371.766666666666,11619.728333333333,15180.266666666666,0.84375,0.7777210884353741,1.0,32,0.5,0.2608695652173913,0.7292067307692305,48,0.71875,0.5,0.9375,32,0.7288135593220338,0.5471698113207547,0.8653846153846154,118
