2026-09-08T20:23:27 model=accounts/fireworks/models/qwen3p8-max attempt=1 delay=1.6s reason=APIConnectionError: Connection error.
2026-09-08T20:38:19 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.8s reason=APITimeoutError: Request timed out.
2026-09-08T20:38:20 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.4s reason=APITimeoutError: Request timed out.
2026-09-08T21:17:41 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.2s reason=APITimeoutError: Request timed out.
2026-09-08T22:26:54 model=accounts/fireworks/models/gpt-oss-120b attempt=1 delay=1.4s reason=APITimeoutError: Request timed out.
2026-09-08T22:26:57 model=accounts/fireworks/models/gpt-oss-120b attempt=1 delay=1.9s reason=APITimeoutError: Request timed out.
2026-09-08T22:27:00 model=accounts/fireworks/models/qwen3p8-max attempt=1 delay=1.1s reason=APITimeoutError: Request timed out.
2026-09-08T22:27:01 model=accounts/fireworks/models/gpt-oss-120b attempt=1 delay=1.2s reason=APITimeoutError: Request timed out.
2026-09-08T22:27:07 model=accounts/fireworks/models/qwen3p8-max attempt=1 delay=1.1s reason=APITimeoutError: Request timed out.
2026-09-08T22:27:08 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=1 delay=1.2s reason=APITimeoutError: Request timed out.
2026-09-08T22:27:08 model=accounts/fireworks/models/deepseek-v4-pro-0813 attempt=1 delay=1.8s reason=APITimeoutError: Request timed out.
2026-09-08T22:27:08 model=accounts/fireworks/models/nemotron-3-ultra-nvfp4 attempt=1 delay=1.7s reason=APITimeoutError: Request timed out.
2026-09-08T22:27:08 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.6s reason=APITimeoutError: Request timed out.
2026-09-08T22:27:11 model=accounts/fireworks/models/nemotron-lightning-3p5-30b-a3b attempt=1 delay=1.7s reason=APITimeoutError: Request timed out.
2026-09-08T22:27:11 model=accounts/fireworks/models/kimi-k3 attempt=1 delay=1.4s reason=APITimeoutError: Request timed out.
2026-09-08T22:27:11 model=accounts/fireworks/models/qwen3p8-max attempt=1 delay=1.7s reason=APITimeoutError: Request timed out.
2026-09-08T22:46:37 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.5s reason=APITimeoutError: Request timed out.
2026-09-08T22:49:18 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.2s reason=APITimeoutError: Request timed out.
2026-09-08T23:02:38 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.2s reason=APITimeoutError: Request timed out.
2026-09-08T23:27:50 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.6s reason=APITimeoutError: Request timed out.
2026-09-08T23:27:53 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.5s reason=APITimeoutError: Request timed out.
2026-09-08T23:40:30 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.8s reason=APITimeoutError: Request timed out.
2026-09-09T00:37:27 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.0s reason=APITimeoutError: Request timed out.
2026-09-09T00:47:28 model=accounts/fireworks/models/glm-5p3 attempt=2 delay=2.7s reason=APITimeoutError: Request timed out.
2026-09-09T00:47:54 model=accounts/fireworks/models/glm-5p3 attempt=1 delay=1.1s reason=APITimeoutError: Request timed out.
