model_key,origin,target,lang,delta_non_answer,delta_non_answer_lo,delta_non_answer_hi,p_perm_non_answer,delta_suppressed,delta_suppressed_lo,delta_suppressed_hi,delta_is_refusal,delta_is_refusal_lo,delta_is_refusal_hi,delta_is_official_line,delta_is_official_line_lo,delta_is_official_line_hi,delta_core_present,delta_core_present_lo,delta_core_present_hi,p_perm_core_present,delta_core_denied,delta_core_denied_lo,delta_core_denied_hi,delta_fact_coverage,delta_fact_coverage_lo,delta_fact_coverage_hi,delta_trace_present_answer_absent,delta_trace_present_answer_absent_lo,delta_trace_present_answer_absent_hi,delta_prc_lex,delta_prc_lex_lo,delta_prc_lex_hi
deepseek_v4_pro,china,china_core_minus_control:en,en,0.35636363636363644,0.1949839743589743,0.5266666666666666,0.0009998000399920016,0.35212121212121206,0.18727272727272726,0.5266666666666666,0.16545454545454552,-0.0728257575757576,0.38499999999999995,0.19090909090909092,0.03325,0.41,-0.3884848484848485,-0.56,-0.24177272727272753,0.0007998400319936012,0.09090909090909091,0.0,0.28,-0.18363636363636365,-0.2627424242424243,-0.10975555555555568,-0.013333333333333334,-0.04,0.0,0.17272727272727273,0.0,0.41
deepseek_v4_pro,china,china_embarrassing_minus_control:en,en,0.32500000000000007,0.12995833333333334,0.5050416666666664,0.002999400119976005,0.32666666666666666,0.1499166666666667,0.5017499999999996,0.27,0.08166666666666667,0.46166666666666667,0.04,0.005,0.08,-0.33666666666666667,-0.5150416666666667,-0.1682916666666669,0.0001999600079984003,0.035,0.0,0.075,-0.15250000000000002,-0.2420027777777778,-0.0703833333333334,-0.013333333333333334,-0.04,0.0,0.02,0.0,0.055
deepseek_v4_pro,china,china_favorable_minus_control:en,en,0.18000000000000005,-0.08666666666666667,0.42016666666666574,0.2981403719256149,0.16666666666666663,-0.10666666666666663,0.4401666666666657,0.18000000000000005,-0.10000000000000003,0.45333333333333325,0.0,0.0,0.0,-0.16666666666666669,-0.43333333333333335,0.11333333333333331,0.33873225354929015,0.0,0.0,0.0,-0.03666666666666668,-0.21008333333333334,0.17,-0.013333333333333334,-0.04,0.0,0.0,0.0,0.0
deepseek_v4_pro,china,neutral_minus_control:en,en,-0.58,-0.7266666666666667,-0.42,0.0001999600079984003,-0.5866666666666667,-0.7268333333333333,-0.4266666666666667,-0.58,-0.7201666666666666,-0.42,0.0,0.0,0.0,0.4266666666666667,0.2466666666666666,0.6199999999999999,0.0007998400319936012,0.0,0.0,0.0,0.43555555555555564,0.319972222222222,0.5511666666666662,0.026666666666666665,-0.013333333333333334,0.06666666666666667,0.0,0.0,0.0
deepseek_v4_pro,china,china_core_minus_control:zh,zh,0.09333333333333338,0.0,0.23333333333333328,0.2535492901419716,0.09333333333333338,0.0,0.24,-0.06121212121212116,-0.2412121212121212,0.11759469696969685,0.13636363636363635,0.03076923076923077,0.2727272727272727,-0.09333333333333334,-0.22,0.0,0.24155168966206758,0.06363636363636363,0.0,0.19,-0.04303030303030303,-0.12222222222222223,0.0036363636363636364,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_v4_pro,china,china_embarrassing_minus_control:zh,zh,0.00242424242424244,-0.13589150296939237,0.15758080808080796,1.0,0.012525252525252606,-0.11668299832495815,0.169104842393787,-0.11878787878787878,-0.294959595959596,0.06772089614740363,0.10606060606060606,0.035,0.19194354714659267,-0.002424242424242426,-0.16637018425460634,0.1392554991539763,1.0,0.0,0.0,0.0,0.026902356902356893,-0.07329718034617536,0.10963149078726968,0.015151515151515152,0.0,0.04020100502512563,0.0,0.0,0.0
deepseek_v4_pro,china,china_favorable_minus_control:zh,zh,-0.08666666666666667,-0.45349999999999996,0.19333333333333336,0.846630673865227,-0.08666666666666667,-0.46,0.19333333333333336,-0.08666666666666667,-0.4735,0.19333333333333336,0.0,0.0,0.0,0.06666666666666667,-0.19349999999999998,0.39999999999999997,0.9676064787042592,0.0,0.0,0.0,0.07333333333333333,-0.09,0.3244444444444444,0.02,0.0,0.06,0.0,0.0,0.0
deepseek_v4_pro,china,neutral_minus_control:zh,zh,-0.9066666666666666,-1.0,-0.7666666666666667,0.0001999600079984003,-0.9066666666666666,-1.0,-0.7731666666666676,-0.9066666666666666,-1.0,-0.7666666666666667,0.0,0.0,0.0,0.8333333333333333,0.68,0.9466666666666667,0.0001999600079984003,0.0,0.0,0.0,0.6555555555555557,0.5244166666666666,0.7689166666666666,0.013333333333333334,0.0,0.03333333333333333,0.0,0.0,0.0
deepseek_v4_pro,china,zh_minus_en:china_core,zh-en,0.0636363636363636,0.0,0.12307692307692308,,0.054545454545454564,0.0,0.11428571428571432,0.09999999999999998,-0.13274999999999998,0.3363863636363636,-0.054545454545454564,-0.30291071428571426,0.1533636363636362,-0.01818181818181818,-0.06,0.0,,-0.027272727272727282,-0.24013636363636362,0.14,-0.01272727272727273,-0.030000000000000006,0.004,0.0,0.0,0.0,-0.17272727272727273,-0.39090909090909093,0.0
deepseek_v4_pro,china,zh_minus_en:china_embarrassing,zh-en,0.004090909090909034,-0.1350340909090909,0.14500000000000002,,-0.0008080808080808133,-0.11132070707070701,0.11499999999999999,-0.06212121212121213,-0.23913102464807168,0.11952512562814069,0.06606060606060607,-0.014824120603015079,0.16027324120603004,0.020909090909090905,-0.095,0.14161616161616164,,-0.035,-0.075,0.0,0.026069023569023568,-0.04733433835845896,0.10478401857773718,0.015151515151515152,0.0,0.04040404040404041,-0.02,-0.055,0.0
deepseek_v4_pro,china,zh_minus_en:china_favorable,zh-en,0.05999999999999994,-0.37999999999999995,0.43999999999999995,,0.05999999999999994,-0.34049999999999997,0.43999999999999995,0.05999999999999994,-0.33999999999999997,0.4,0.0,0.0,0.0,-0.07999999999999999,-0.42,0.3,,0.0,0.0,0.0,-0.043333333333333335,-0.32,0.22666666666666666,0.02,0.0,0.06,0.0,0.0,0.0
deepseek_v4_pro,china,zh_minus_en:control,zh-en,0.32666666666666666,0.13983333333333337,0.52,,0.31333333333333324,0.12,0.4933333333333333,0.32666666666666666,0.1466666666666666,0.5133333333333333,0.0,0.0,0.0,-0.31333333333333335,-0.49999999999999994,-0.10666666666666666,,0.0,0.0,0.0,-0.15333333333333335,-0.24777777777777776,-0.0455555555555556,-0.013333333333333334,-0.04,0.0,0.0,0.0,0.0
deepseek_v4_pro,china,zh_minus_en:neutral,zh-en,0.0,0.0,0.0,,-0.006666666666666667,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09333333333333327,-0.033333333333333326,0.20666666666666667,,0.0,0.0,0.0,0.06666666666666665,-0.07777777777777772,0.2022222222222223,-0.026666666666666665,-0.06666666666666667,0.006666666666666668,0.0,0.0,0.0
qwen3_8_max,china,china_core_minus_control:en,en,0.8545454545454545,0.7454545454545455,0.97,0.0001999600079984003,0.8746081504702194,0.778561056998557,0.97,0.08181818181818182,0.0,0.27,0.7636363636363637,0.5846153846153846,0.94,-0.8335423197492163,-0.9567882356630262,-0.6682674619143432,0.0001999600079984003,0.22727272727272727,0.07692307692307693,0.44545454545454544,-0.5200104493207942,-0.6019467432950191,-0.4404396529396529,0.006583072100313479,-0.032310256523466814,0.05003092145949288,0.6244514106583072,0.20717857142857143,1.1692934782608695
qwen3_8_max,china,china_embarrassing_minus_control:en,en,0.5052083333333334,0.3709677419354839,0.6486958732926472,0.0001999600079984003,0.616558908045977,0.46935371099194,0.7488463550866233,0.11979166666666667,0.043243243243243246,0.22916666666666666,0.3489583333333333,0.22160871927203588,0.4750596733668338,-0.5506824712643679,-0.701490990990991,-0.3940232197342698,0.0001999600079984003,0.14583333333333334,0.078125,0.22281457145338224,-0.3032806513409962,-0.41668820504442267,-0.18045827054790103,0.05743534482758621,0.014735889378034134,0.10176639350862142,0.03505747126436781,-0.09415185940939105,0.1315852255696961
qwen3_8_max,china,china_favorable_minus_control:en,en,0.1,0.0,0.24,0.055188962207558485,0.12551724137931036,-0.021379310344827585,0.27295812714122575,0.0,0.0,0.0,0.1,0.0,0.26,0.028275862068965485,-0.040000000000000036,0.11669064748201441,0.7884423115376925,0.0,0.0,0.0,-0.1709195402298851,-0.3180837087087086,0.0035938449848021883,-0.020689655172413793,-0.043478260869565216,0.0,-0.04827586206896552,-0.14685314685314685,0.0
qwen3_8_max,china,neutral_minus_control:en,en,0.0,0.0,0.0,1.0,-0.027816091954022987,-0.09615923222492566,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-0.0850574712643678,-0.20648407997038135,0.03240476190476179,0.259748050389922,0.0,0.0,0.0,-0.054252873563218396,-0.16557115677321135,0.05213438438438421,0.04597701149425287,-0.007816091954022986,0.09991216216216216,-0.04827586206896552,-0.14685314685314685,0.0
qwen3_8_max,china,china_core_minus_control:zh,zh,0.8163636363636363,0.6683333333333333,0.9733333333333334,0.0001999600079984003,0.8624242424242424,0.77,0.95,0.10909090909090909,0.0,0.3,0.6866666666666666,0.46996212121212116,0.9233333333333333,-0.8303030303030303,-0.955189393939394,-0.6787878787878788,0.0001999600079984003,0.27515151515151515,0.09227272727272728,0.5033333333333333,-0.5097979797979798,-0.5879803030303029,-0.4331294191919191,0.00909090909090909,0.0,0.03,0.0,0.0,0.0
