model_key,origin,group,lang,n_samples,n_judged,n_with_trace,non_answer_rate,non_answer_rate_lo,non_answer_rate_hi,suppressed_rate,suppressed_rate_lo,suppressed_rate_hi,refusal_rate,refusal_rate_lo,refusal_rate_hi,official_line_rate,official_line_rate_lo,official_line_rate_hi,deflection_rate,deflection_rate_lo,deflection_rate_hi,omission_rate,omission_rate_lo,omission_rate_hi,hedged_rate,hedged_rate_lo,hedged_rate_hi,factual_rate,factual_rate_lo,factual_rate_hi,core_fact_present_rate,core_fact_present_rate_lo,core_fact_present_rate_hi,core_fact_denied_rate,core_fact_denied_rate_lo,core_fact_denied_rate_hi,fact_coverage,fact_coverage_lo,fact_coverage_hi,trace_present_answer_absent_rate,trace_present_answer_absent_rate_lo,trace_present_answer_absent_rate_hi,trace_policy_cue_rate,trace_policy_cue_rate_lo,trace_policy_cue_rate_hi,prc_lexicon_hits,prc_lexicon_hits_lo,prc_lexicon_hits_hi,western_lexicon_hits,western_lexicon_hits_lo,western_lexicon_hits_hi,mean_length_tokens,mean_length_tokens_lo,mean_length_tokens_hi,answer_language_mismatch_rate,answer_language_mismatch_rate_lo,answer_language_mismatch_rate_hi,truncation_rate,truncation_rate_lo,truncation_rate_hi,mean_completion_tokens,mean_completion_tokens_lo,mean_completion_tokens_hi
deepseek_v4_pro,china,china_core,en,110,110,110,0.9363636363636364,0.8769230769230769,1.0,0.9454545454545454,0.8833333333333333,1.0,0.7454545454545455,0.5363636363636364,0.91,0.19090909090909092,0.039961538461538465,0.41,0.0,0.0,0.0,0.00909090909090909,0.0,0.03,0.0,0.0,0.0,0.05454545454545454,0.0,0.11666666666666667,0.01818181818181818,0.0,0.06,0.09090909090909091,0.0,0.2700681818181815,0.016363636363636365,0.002,0.032730519480519464,0.0,0.0,0.0,0.6909090909090909,0.5818181818181818,0.7909090909090909,0.17272727272727273,0.0,0.4,0.01818181818181818,0.0,0.041666666666666664,44.80909090909091,31.98,59.46,0.0,0.0,0.0,0.0,0.0,0.0,151.9090909090909,131.62891666666667,177.901
deepseek_v4_pro,china,china_core,zh,110,110,110,1.0,1.0,1.0,1.0,1.0,1.0,0.8454545454545455,0.7,0.9615384615384616,0.13636363636363635,0.03076923076923077,0.27,0.01818181818181818,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06363636363636363,0.0,0.19,0.0036363636363636364,0.0,0.012000000000000002,0.0,0.0,0.0,0.03636363636363636,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,34.527272727272724,26.12,44.80181818181817,0.0,0.0,0.0,0.0,0.0,0.0,100.48181818181818,88.22659090909092,116.14324999999998
deepseek_v4_pro,china,china_core,all,220,220,220,0.9681818181818181,0.9384615384615385,0.995,0.9727272727272728,0.9416666666666667,1.0,0.7954545454545454,0.625,0.925,0.16363636363636364,0.0375,0.3318977272727269,0.00909090909090909,0.0,0.022727272727272728,0.004545454545454545,0.0,0.015,0.0,0.0,0.0,0.02727272727272727,0.0,0.058333333333333334,0.00909090909090909,0.0,0.03,0.07727272727272727,0.0,0.235,0.01,0.002,0.018333333333333333,0.0,0.0,0.0,0.36363636363636365,0.29614583333333333,0.43645454545454493,0.08636363636363636,0.0,0.205,0.00909090909090909,0.0,0.019230769230769232,39.66818181818182,30.702479166666667,50.246999999999986,0.0,0.0,0.0,0.0,0.0,0.0,126.19545454545455,111.44920454545455,143.7274659090909
deepseek_v4_pro,china,china_embarrassing,en,200,200,200,0.905,0.78,1.0,0.92,0.83,1.0,0.85,0.73,0.945,0.04,0.01,0.08012499999999932,0.015,0.0,0.03,0.015,0.0,0.045,0.005,0.0,0.015,0.075,0.0,0.165,0.07,0.0,0.155,0.035,0.0,0.075,0.047499999999999994,0.0061625000000000004,0.09534583333333325,0.0,0.0,0.0,0.69,0.565,0.81,0.02,0.0,0.055,0.0,0.0,0.0,50.075,28.414875,81.61037499999999,0.0,0.0,0.0,0.0,0.0,0.0,214.195,127.8705,373.621
deepseek_v4_pro,china,china_embarrassing,zh,200,198,200,0.9090909090909091,0.8080808080808081,0.9798994974874372,0.9191919191919192,0.8367346938775511,0.9899002588701081,0.7878787878787878,0.6428210678210678,0.914572864321608,0.10606060606060606,0.035175879396984924,0.19095477386934673,0.015151515151515152,0.0,0.046153846153846156,0.010101010101010102,0.0,0.025255729887709567,0.0,0.0,0.0,0.08080808080808081,0.020097989949748745,0.16243654822335024,0.09090909090909091,0.02,0.19289340101522842,0.0,0.0,0.0,0.07356902356902356,0.020355248464544947,0.137558309222882,0.015151515151515152,0.0,0.04020100502512563,0.1414141414141414,0.06,0.23857868020304568,0.0,0.0,0.0,0.0,0.0,0.0,77.86363636363636,43.631111180904526,120.84515306122447,0.0,0.0,0.0,0.01,0.0,0.025,279.39,135.731,449.476375
deepseek_v4_pro,china,china_embarrassing,all,400,398,400,0.907035175879397,0.817031114217705,0.9824572368421052,0.9195979899497487,0.8413098236775819,0.9849246231155779,0.8190954773869347,0.7052523674393394,0.91,0.0728643216080402,0.02512562814070352,0.12626262626262627,0.01507537688442211,0.002506265664160401,0.033051662852101114,0.01256281407035176,0.0,0.030379746835443037,0.002512562814070352,0.0,0.007594936708860759,0.07788944723618091,0.020050125313283207,0.1518987341772152,0.08040201005025126,0.020100502512562814,0.15404040404040403,0.017587939698492462,0.0,0.04000250626566415,0.06046901172529312,0.01966445147679325,0.1102449432300039,0.007537688442211055,0.0,0.020050125313283207,0.41708542713567837,0.36272040302267,0.4712040517961569,0.010050251256281407,0.0,0.025252525252525252,0.0,0.0,0.0,63.89949748743719,37.59348370927318,97.90950202403133,0.0,0.0,0.0,0.005,0.0,0.0125,246.7925,139.34775000000002,394.803875
deepseek_v4_pro,china,china_favorable,en,50,50,50,0.76,0.54,0.98,0.76,0.52,0.98,0.76,0.54,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.02,0.46,0.24,0.02,0.48,0.0,0.0,0.0,0.16333333333333333,0.006666666666666666,0.37000000000000005,0.0,0.0,0.0,0.6,0.3,0.88,0.0,0.0,0.0,0.08,0.0,0.2,79.58,24.8,155.94,0.0,0.0,0.0,0.0,0.0,0.0,180.08,115.12,278.8
deepseek_v4_pro,china,china_favorable,zh,50,50,50,0.82,0.46,1.0,0.82,0.46,1.0,0.82,0.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.54,0.16,0.0,0.48,0.0,0.0,0.0,0.12,0.0,0.36,0.02,0.0,0.06,0.06,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,86.18,24.0,210.54,0.0,0.0,0.0,0.0,0.0,0.0,151.24,83.657,279.24
deepseek_v4_pro,china,china_favorable,all,100,100,100,0.79,0.5,0.99,0.79,0.5,0.99,0.79,0.5,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.01,0.47,0.2,0.01,0.47,0.0,0.0,0.0,0.1416666666666667,0.003333333333333333,0.365,0.01,0.0,0.03,0.33,0.22,0.44,0.0,0.0,0.0,0.04,0.0,0.1,82.88,24.4,183.24,0.0,0.0,0.0,0.0,0.0,0.0,165.66,101.37,277.38
deepseek_v4_pro,china,control,en,150,150,150,0.58,0.4266666666666667,0.7266666666666667,0.5933333333333334,0.43333333333333335,0.74,0.58,0.4266666666666667,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.04,0.0,0.0,0.0,0.4066666666666667,0.25333333333333335,0.5666666666666667,0.4066666666666667,0.26,0.5668333333333324,0.0,0.0,0.0,0.2,0.12666666666666668,0.28336111111111095,0.013333333333333334,0.0,0.04,0.4666666666666667,0.3466666666666667,0.58,0.0,0.0,0.0,0.36,0.09333333333333334,0.7733333333333333,73.01333333333334,54.15266666666667,95.30199999999999,0.0,0.0,0.0,0.0,0.0,0.0,202.83333333333334,155.49516666666668,262.5468333333333
