model_key,origin,target,delta_recall,delta_recall_lo,delta_recall_hi,p_perm_recall,delta_distortion_rate,delta_distortion_rate_lo,delta_distortion_rate_hi,p_perm_distortion_rate,delta_omission_rate,delta_omission_rate_lo,delta_omission_rate_hi,delta_trace_present_answer_absent_rate,delta_trace_present_answer_absent_rate_lo,delta_trace_present_answer_absent_rate_hi,delta_insertion_rate,delta_insertion_rate_lo,delta_insertion_rate_hi,delta_framing_insertion_rate,delta_framing_insertion_rate_lo,delta_framing_insertion_rate_hi,delta_disclaimer_insertion_rate,delta_disclaimer_insertion_rate_lo,delta_disclaimer_insertion_rate_hi,delta_fact_insertion_rate,delta_fact_insertion_rate_lo,delta_fact_insertion_rate_hi,delta_mean_insertions,delta_mean_insertions_lo,delta_mean_insertions_hi,delta_prc_lexicon_hits,delta_prc_lexicon_hits_lo,delta_prc_lexicon_hits_hi,delta_western_lexicon_hits,delta_western_lexicon_hits_lo,delta_western_lexicon_hits_hi,delta_mean_length_tokens,delta_mean_length_tokens_lo,delta_mean_length_tokens_hi,delta_refusal_rate,delta_refusal_rate_lo,delta_refusal_rate_hi,delta_truncation_rate,delta_truncation_rate_lo,delta_truncation_rate_hi,delta_mean_completion_tokens,delta_mean_completion_tokens_lo,delta_mean_completion_tokens_hi,delta_recall_numeric,delta_recall_numeric_lo,delta_recall_numeric_hi,delta_recall_attribution,delta_recall_attribution_lo,delta_recall_attribution_hi,delta_recall_actor,delta_recall_actor_lo,delta_recall_actor_hi,delta_recall_quote,delta_recall_quote_lo,delta_recall_quote_hi,delta_recall_evaluative,delta_recall_evaluative_lo,delta_recall_evaluative_hi,delta_recall_background,delta_recall_background_lo,delta_recall_background_hi
deepseek_v4_pro,china,china_minus_control,0.023829759752002078,-0.0422419304839772,0.09231440885679139,0.5140971805638872,-0.0020201498320847333,-0.030530695648206662,0.02821092287681225,0.9034193161367726,-0.021809609919917372,-0.1002185570081564,0.05671736447948328,0.009388087831536662,-0.01291736121623856,0.03276399639445977,-0.09,-0.21,0.0,-0.049999999999999996,-0.11,0.0,-0.05,-0.15,0.0,0.0,-0.03,0.03,-0.11,-0.24000000000000002,0.0,0.62,0.13,1.23,-0.24,-1.0499999999999998,0.6602499999999987,1.240000000000009,-7.861749999999985,10.040749999999989,0.0,0.0,0.0,0.0,0.0,0.0,-3.0499999999999545,-74.44149999999995,66.69150000000005,-0.07275641025641028,-0.16729447758564273,0.020417662225225355,0.10359154929577463,-0.03436777465330357,0.24709340021840026,0.008333333333333304,-0.19596242934251348,0.18628431372549012,0.0977420458433117,-0.049384872096735595,0.24394741669804665,0.03126954346466537,-0.1570211966085426,0.21956311078262278,0.017142857142857126,-0.14831717459978333,0.20705832147937392
deepseek_v4_pro,china,china_minus_neutral,-0.003329465391460007,-0.06895058484128494,0.06671016506669922,,-0.03464184245855405,-0.07628705209588242,0.0027169214491645794,,0.03797130785001401,-0.03902385385148767,0.11229163184709648,-0.009736486946250435,-0.040096085993995,0.018962452521037388,-0.02,-0.08,0.03,0.01,0.0,0.03,0.0,0.0,0.0,-0.01,-0.04,0.02,-0.02,-0.07,0.03,0.74,0.28,1.29,1.01,0.48975,1.63,-1.789999999999992,-11.840250000000003,7.711999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-89.84000000000003,-193.57050000000007,4.660249999999923,-0.1370740503040861,-0.25036289799324574,-0.026944634458341703,0.0953846153846154,-0.0936643877802414,0.2801612058965,-0.10833333333333334,-0.38731112973048465,0.13492557557557555,0.26223759729538487,0.10710007588228736,0.39607875457875436,-0.09667198541144295,-0.2905463273155902,0.08299568359601096,-0.01328903654485053,-0.1856817558020148,0.1911852291538477
deepseek_v4_pro,china,prc_state_minus_western_within_china,0.13453654552878724,0.034764901578937316,0.23366111346915655,,-0.01962161426432557,-0.06149910211817828,0.021601129275031654,,-0.11491493126446167,-0.22686223853054066,0.0017936113161036644,0.01689038897803353,-0.024240757109667773,0.06067944087304217,0.008333333333333335,-0.05,0.075,-0.016666666666666666,-0.05,0.0,0.0,0.0,0.0,0.025,0.0,0.075,0.008333333333333335,-0.05,0.075,1.5999999999999999,0.7083333333333333,2.5335416666666655,-0.2250000000000001,-1.3502083333333335,1.1,9.699999999999989,-0.0839583333333152,20.559375,0.0,0.0,0.0,0.0,0.0,0.0,38.60000000000002,-41.09770833333337,112.87374999999993,,,,,,,,,,,,,,,,,,
qwen3_8_max,china,china_minus_control,0.07019000500013162,0.004487521492099593,0.134807700422742,0.044191161767646474,-0.03175715150398695,-0.05608541321016516,-0.00952207639167962,0.011397720455908818,-0.038432853496144614,-0.1005983938547208,0.023261392142798026,-6.342272165056964e-05,-0.011223890593960482,0.010821228810236028,-0.009090909090909094,-0.13,0.11171717171717171,0.020606060606060607,-0.06,0.11501417525773189,-0.04,-0.12,0.0,0.0405050505050505,-0.01,0.10416666666666667,0.011212121212121215,-0.13999999999999999,0.1723722943722941,0.5267676767676768,0.05302525252525253,1.091850046860356,-0.42181818181818176,-1.1992602040816327,0.3435561543267712,-5.046363636363623,-10.641750000000014,0.5853552631578852,0.0,0.0,0.0,0.01,0.0,0.03,-105.03999999999996,-402.4264999999999,186.79425000000006,0.01308089500860582,-0.08243786647121534,0.10735392577657618,0.11372336583604192,-0.012036609934254152,0.23847766052848146,0.12944785276073623,-0.07480067121188097,0.30810607194261025,0.1490861618798956,0.017041052592347946,0.270013844411466,0.015512820512820436,-0.1963221560161584,0.22179772310728885,-0.013995859213250528,-0.1648959371362529,0.15639089644795015
qwen3_8_max,china,china_minus_neutral,-0.006265691202400059,-0.06725735239853729,0.06043938302753123,,-0.03276980973183505,-0.05988109140020476,-0.006659350462810024,,0.039035500934235134,-0.02534186834722129,0.1024621231816521,0.0039872101897418365,-0.005470010592470512,0.013100664505812548,0.07090909090909091,-0.01,0.16556701030927837,0.040606060606060604,-0.03,0.13625,0.0,0.0,0.0,0.050505050505050504,0.0,0.1134020618556701,0.09121212121212122,-0.03,0.24556574794866368,0.6767676767676768,0.2322651515151515,1.1959793814432984,0.8181818181818182,0.39776020408163265,1.3536255411255407,-6.976363636363629,-13.75075,-0.013749785223367802,0.0,0.0,0.0,0.01,0.0,0.03,58.069999999999936,-214.41649999999987,330.33349999999984,-0.1431321227428734,-0.2539429130892477,-0.027852205566264804,0.10842490842490848,-0.09153323778323778,0.307806637173029,-0.0288854805725971,-0.2746449537968422,0.20489939217146375,0.2583169311106648,0.13177925651392636,0.37316409397054556,-0.08872093023255812,-0.2962508260540176,0.10900581395348825,-0.060479375696767035,-0.20992059632340349,0.10071844592716148
qwen3_8_max,china,prc_state_minus_western_within_china,0.09362089584692324,0.00762564029946313,0.181327639470226,,-0.012620497209538305,-0.03725099917430501,0.011273114592210743,,-0.08100039863738495,-0.17134709744377338,0.022498907599053906,7.247952453431905e-05,-0.01387994194745309,0.012488263670079333,0.14615384615384616,-0.03333333333333333,0.35903508771929793,0.15384615384615385,0.0,0.39473684210526316,0.0,0.0,0.0,0.043589743589743594,-0.06666666666666667,0.1828941441441441,0.22307692307692306,-0.03333333333333333,0.5405405405405406,1.5064102564102564,0.6332051282051283,2.4295608108108104,-0.0807692307692307,-0.9816228070175439,1.1416666666666664,-2.292307692307702,-7.911666666666674,3.5786936936936904,0.0,0.0,0.0,0.025,0.0,0.075,-51.13333333333344,-464.1433333333335,347.57208333333307,,,,,,,,,,,,,,,,,,
kimi_k3,china,china_minus_control,0.025477912684060966,-0.04703582435004675,0.09390617502794533,0.47390521895620874,-0.013333763885300956,-0.03621036444411904,0.008542168255227127,0.2705458908218356,-0.012144148798760024,-0.08616693825766801,0.05977817428590899,0.00814299738886377,-0.005526654680729163,0.02465894882617994,-0.07,-0.19,0.04,-0.039999999999999994,-0.14,0.06,-0.02,-0.06,0.0,-0.01,-0.04,0.02,-0.09000000000000001,-0.26,0.07999999999999999,0.7000000000000001,0.16,1.3499999999999999,-0.49,-1.3699999999999997,0.3904999999999973,2.1100000000000136,-4.930750000000006,9.0605,0.0,0.0,0.0,0.0,0.0,0.0,-7.099999999999909,-287.34774999999996,254.51574999999983,-0.07777777777777778,-0.17176289262842098,0.023216775011404497,0.07028169014084507,-0.0720008581849389,0.20943048953870455,0.022159090909090906,-0.20234755387981193,0.22747515481950634,0.14974341430037635,0.010216421240517611,0.28951856959442424,0.03727329580988126,-0.13485125646711005,0.22763541666666656,0.012380952380952326,-0.16395926109186876,0.2171774354324221
kimi_k3,china,china_minus_neutral,-0.026708976273436158,-0.09418800512803216,0.03363273314712727,,-0.030815496930479518,-0.056950099987244825,-0.005356087599346459,,0.05752447320391568,-0.006273202647549948,0.1251844377337857,0.012705954320656894,-0.0007870708309214162,0.028242383452123015,-0.020000000000000004,-0.12,0.08,0.04,-0.01,0.11,0.0,0.0,0.0,-0.060000000000000005,-0.13,0.0,0.0,-0.11,0.13,0.8,0.29975,1.43,0.81,0.32,1.38,-6.149999999999977,-13.880999999999997,2.0614999999999934,0.0,0.0,0.0,0.0,0.0,0.0,-99.28999999999996,-396.87549999999993,209.19275,-0.1975719187120612,-0.29897661820200755,-0.09322363807569842,0.05363636363636359,-0.1107169959055333,0.226789636252794,-0.09242424242424246,-0.33043610816542945,0.14235608108108094,0.2815752461322082,0.14652732336956964,0.39761191116231437,-0.04310833806012471,-0.2101722567287785,0.10875058452186107,-0.02148394241417506,-0.18858681351328413,0.15611431387041136
kimi_k3,china,prc_state_minus_western_within_china,0.053763440860215006,-0.0440313318875937,0.14735328272832335,,-0.0008547706546889883,-0.0264698633644324,0.025432125303525743,,-0.05290867020552609,-0.15551378783418154,0.04892094812608586,0.026887862440205447,-0.0015924907048622359,0.06051047103810635,0.15,0.05,0.3,0.125,0.0,0.275,0.0,0.0,0.0,0.025,0.0,0.075,0.2,0.05,0.45,1.625,0.5916666666666666,2.8085416666666654,-0.18333333333333335,-1.2002083333333333,1.1004166666666644,-2.933333333333337,-11.375416666666666,5.825416666666653,0.0,0.0,0.0,0.0,0.0,0.0,-431.51666666666665,-762.3845833333334,-101.12229166666661,,,,,,,,,,,,,,,,,,
glm_5_3,china,china_minus_control,0.019777591697433317,-0.05613683067926776,0.09745508523994917,0.6156768646270746,0.002939012167117068,-0.020367358805926543,0.030432945526042296,0.8354329134173165,-0.022716603864550433,-0.10833821976006176,0.05683565259888058,0.0032294043742468123,-0.008806045579951625,0.015727217885246485,-0.07160312805474095,-0.2234137093409773,0.07980466062829622,-0.029814271749755622,-0.1579136033886752,0.090241946271078,-0.03164711632453568,-0.12631578947368421,0.024096385542168676,-0.01014173998044966,-0.06316312868201958,0.03260869565217391,-0.08113391984359727,-0.27582935618039983,0.1218107702237137,0.6120478983382209,0.04897232370571123,1.160441877813717,-0.4420821114369502,-1.4508325687288999,0.5859315696516468,1.4891251221896482,-6.1304101576222205,8.991943537535843,0.0,0.0,0.0,0.04999999999999999,-0.05,0.14,568.3699999999994,-275.86700000000013,1419.3742499999998,-0.09582551594746713,-0.20337146454237146,0.00838193580904108,0.0890315862547727,-0.057112802699166125,0.24329366360415872,0.09442258736403614,-0.14525042471249716,0.3213051943458352,0.09381817589788671,-0.05944065361877252,0.23615113873769708,0.047722860982529425,-0.13324387684196196,0.23489766969271364,0.04562146892655361,-0.148485420391742,0.25169234838744237
