model_key,origin,group,n_samples,n_judged,recall,recall_lo,recall_hi,distortion_rate,distortion_rate_lo,distortion_rate_hi,omission_rate,omission_rate_lo,omission_rate_hi,trace_present_answer_absent_rate,trace_present_answer_absent_rate_lo,trace_present_answer_absent_rate_hi,insertion_rate,insertion_rate_lo,insertion_rate_hi,framing_insertion_rate,framing_insertion_rate_lo,framing_insertion_rate_hi,disclaimer_insertion_rate,disclaimer_insertion_rate_lo,disclaimer_insertion_rate_hi,fact_insertion_rate,fact_insertion_rate_lo,fact_insertion_rate_hi,mean_insertions,mean_insertions_lo,mean_insertions_hi,prc_lexicon_hits,prc_lexicon_hits_lo,prc_lexicon_hits_hi,western_lexicon_hits,western_lexicon_hits_lo,western_lexicon_hits_hi,mean_length_tokens,mean_length_tokens_lo,mean_length_tokens_hi,refusal_rate,refusal_rate_lo,refusal_rate_hi,truncation_rate,truncation_rate_lo,truncation_rate_hi,mean_completion_tokens,mean_completion_tokens_lo,mean_completion_tokens_hi
deepseek_v4_pro,china,china,100,100,0.47091836734693876,0.4187805371714965,0.5265387024374967,0.0673469387755102,0.04708786299329858,0.09171405276031663,0.461734693877551,0.40203334644894745,0.5202071027042465,0.04533745492014426,0.0253066658243653,0.06667091836734691,0.02,0.0,0.05,0.01,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.03,0.02,0.0,0.05,0.74,0.3,1.3,1.01,0.48,1.6402499999999984,211.93,205.2285,217.99025,0.0,0.0,0.0,0.0,0.0,0.0,546.99,502.94675,593.2747499999999
deepseek_v4_pro,china,control,100,100,0.4470886075949367,0.4055266043434128,0.4890655636067733,0.06936708860759494,0.05236582052331857,0.08866124768702088,0.4835443037974684,0.4318853275194429,0.5351803207958987,0.035949367088607596,0.026799849764285344,0.04534005037783375,0.11,0.03,0.22,0.06,0.02,0.12,0.05,0.0,0.15,0.01,0.0,0.03,0.13,0.03,0.27024999999999866,0.12,0.0,0.28,1.25,0.7,1.83,210.69,203.84975,217.11025,0.0,0.0,0.0,0.0,0.0,0.0,550.04,493.5125,611.083
deepseek_v4_pro,china,neutral,100,100,0.47424783273839877,0.43568273328319856,0.5166727662796567,0.10198878123406425,0.07307002083661529,0.13467912519180544,0.423763386027537,0.38278371779219944,0.4646543439510191,0.05507394186639469,0.03655789995117789,0.07468198610142343,0.04,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.05,0.04,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,213.72,206.02925,221.75199999999998,0.0,0.0,0.0,0.0,0.0,0.0,636.83,555.23525,725.0132499999999
deepseek_v4_pro,china,china_prc_state,40,40,0.552258064516129,0.46579590570719603,0.6329165242652084,0.05548387096774193,0.030573248407643312,0.08646564725596977,0.39225806451612905,0.3013157894736842,0.48774193548387096,0.05548387096774193,0.022364766081871344,0.08903575097596053,0.025,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.075,0.025,0.0,0.075,1.7,0.8,2.675,0.875,0.0,2.125,217.75,213.575,222.975,0.0,0.0,0.0,0.0,0.0,0.0,570.15,541.271875,606.525
deepseek_v4_pro,china,china_western_or_ngo,60,60,0.4177215189873418,0.3689075630252101,0.46949243471302826,0.0751054852320675,0.04832753164556962,0.10757269434970636,0.5071729957805907,0.4398263069441465,0.5705882352941176,0.038593481989708404,0.01636520241171404,0.06387400870638488,0.016666666666666666,0.0,0.05,0.016666666666666666,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.05,0.1,0.0,0.26666666666666666,1.1,0.5495833333333334,1.7504166666666643,208.05,198.58291666666668,216.75041666666667,0.0,0.0,0.0,0.0,0.0,0.0,531.55,463.98541666666665,602.1333333333332
qwen3_8_max,china,china,100,100,0.48284823284823286,0.4326513414354506,0.5339696543651701,0.0446985446985447,0.03359560016829957,0.05704154930024234,0.47245322245322247,0.4212991293722741,0.5220152326229494,0.017151767151767153,0.010394068330370765,0.02454092011705213,0.09090909090909091,0.02,0.1836734693877551,0.06060606060606061,0.0,0.15463917525773196,0.0,0.0,0.0,0.050505050505050504,0.0,0.1134020618556701,0.12121212121212122,0.01,0.2653061224489796,0.6767676767676768,0.24477551020408164,1.206333958138081,0.8181818181818182,0.3837424242424242,1.3572142857142855,224.36363636363637,221.39368686868687,227.81025,0.0,0.0,0.0,0.01,0.0,0.03,1915.78,1728.39225,2106.18475
qwen3_8_max,china,control,100,100,0.41265822784810124,0.3717222352055257,0.45279861183051895,0.07645569620253165,0.05779879769029979,0.09974561116772743,0.5108860759493671,0.47197841797387335,0.550009493670886,0.017215189873417722,0.009112776201256258,0.02646386437989491,0.1,0.03,0.2,0.04,0.01,0.08,0.04,0.0,0.12,0.01,0.0,0.03,0.11,0.03,0.21024999999999863,0.15,0.0,0.38,1.24,0.67,1.83,229.41,224.6895,234.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.82,1808.30825,2251.9809999999998
qwen3_8_max,china,neutral,100,100,0.4891139240506329,0.44039141414141414,0.5285723327305606,0.07746835443037975,0.054543141337034466,0.10229532442748089,0.43341772151898733,0.3939082419498586,0.4759553948161543,0.013164556962025316,0.007124229860115473,0.020151133501259445,0.02,0.0,0.05,0.02,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,231.34,225.43975,237.51199999999997,0.0,0.0,0.0,0.0,0.0,0.0,1857.71,1689.12975,2030.18375
qwen3_8_max,china,china_prc_state,40,40,0.5396825396825397,0.47133692701263447,0.6078601080911724,0.037037037037037035,0.01997006636653774,0.05483028720626632,0.42328042328042326,0.3522134255129349,0.49936770428015553,0.017195767195767195,0.007989347536617843,0.02564102564102564,0.1794871794871795,0.025,0.39473684210526316,0.15384615384615385,0.0,0.3333333333333333,0.0,0.0,0.0,0.07692307692307693,0.0,0.1891891891891892,0.2564102564102564,0.025,0.6052631578947368,1.5897435897435896,0.7177631578947369,2.5,0.7692307692307693,0.02564102564102564,1.9487179487179487,222.97435897435898,219.324375,226.8428475033738,0.0,0.0,0.0,0.025,0.0,0.075,1885.1,1560.471875,2184.530625
qwen3_8_max,china,china_western_or_ngo,60,60,0.4460616438356164,0.39044978042059847,0.5085834716478652,0.04965753424657534,0.03580490129126998,0.06565067398311317,0.5042808219178082,0.4417149148269604,0.5600042372881356,0.017123287671232876,0.008437932134879268,0.02837681727749255,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.1,0.03333333333333333,0.0,0.1,0.08333333333333333,0.0,0.25,0.85,0.4666666666666667,1.2333333333333334,225.26666666666668,220.85,229.76791666666668,0.0,0.0,0.0,0.0,0.0,0.0,1936.2333333333333,1693.90625,2202.53875
kimi_k3,china,china,100,100,0.5545918367346939,0.5060861451179456,0.6030544188242701,0.044387755102040814,0.03281863979848867,0.06005089058524173,0.4010204081632653,0.35012983674423265,0.4558375634517767,0.023646873357856018,0.011437131886975321,0.0390032502708559,0.06,0.01,0.13,0.05,0.0,0.12,0.0,0.0,0.0,0.01,0.0,0.03,0.08,0.01,0.2,0.8,0.29975,1.39,0.81,0.36,1.4,247.86,243.13,252.44025,0.0,0.0,0.0,0.0,0.0,0.0,1447.46,1259.21875,1642.961
kimi_k3,china,control,100,100,0.529113924050633,0.4813240383758955,0.5806682340442276,0.05772151898734177,0.04212666000102548,0.07568957560140761,0.4131645569620253,0.3605167762828431,0.4628240294737938,0.015503875968992248,0.008933028799671193,0.022824316592918885,0.13,0.04,0.24,0.09,0.02,0.18,0.02,0.0,0.06,0.02,0.0,0.05,0.17,0.05,0.32,0.1,0.0,0.25,1.3,0.65,1.98,245.75,240.35850000000002,251.151,0.0,0.0,0.0,0.0,0.0,0.0,1454.56,1279.3535000000002,1663.503
kimi_k3,china,neutral,100,100,0.5813008130081301,0.5414135771119012,0.6209441297092817,0.07520325203252033,0.05482233502538071,0.09898728643060542,0.3434959349593496,0.3064587222020043,0.3770913684145924,0.010940919037199124,0.00593092676087631,0.016620535747439717,0.08,0.01,0.16,0.01,0.0,0.03,0.0,0.0,0.0,0.07,0.01,0.15,0.08,0.01,0.16,0.0,0.0,0.0,0.0,0.0,0.0,254.01,247.51950000000002,260.41125,0.0,0.0,0.0,0.0,0.0,0.0,1546.75,1295.0085,1799.787
kimi_k3,china,china_prc_state,40,40,0.5870967741935483,0.5122541606739264,0.6545689149560115,0.04387096774193548,0.026923076923076925,0.06452660242982818,0.3690322580645161,0.2909090909090909,0.45608280254777056,0.0403899721448468,0.01262052334871292,0.07143530997304579,0.15,0.025,0.3,0.125,0.025,0.275,0.0,0.0,0.0,0.025,0.0,0.075,0.2,0.05,0.45,1.775,0.8,3.025,0.7,0.0,1.85,246.1,241.275,251.425,0.0,0.0,0.0,0.0,0.0,0.0,1188.55,933.5,1453.396875
