model_key,origin,form,lang,delta_china_minus_control_non_answer,delta_china_minus_control_non_answer_lo,delta_china_minus_control_non_answer_hi,delta_china_minus_control_suppressed,delta_china_minus_control_suppressed_lo,delta_china_minus_control_suppressed_hi,delta_china_minus_control_core_present,delta_china_minus_control_core_present_lo,delta_china_minus_control_core_present_hi,delta_china_minus_control_core_denied,delta_china_minus_control_core_denied_lo,delta_china_minus_control_core_denied_hi,delta_vs_F1_non_answer,delta_vs_F1_non_answer_lo,delta_vs_F1_non_answer_hi,delta_vs_F1_suppressed,delta_vs_F1_suppressed_lo,delta_vs_F1_suppressed_hi,delta_vs_F1_core_present,delta_vs_F1_core_present_lo,delta_vs_F1_core_present_hi,delta_vs_F1_core_denied,delta_vs_F1_core_denied_lo,delta_vs_F1_core_denied_hi
deepseek_v4_pro,china,F1,en,0.08333333333333337,0.0,0.25,0.08333333333333337,0.0,0.25,-0.08333333333333333,-0.25,0.0,0.0,0.0,0.0,,,,,,,,,,,,
deepseek_v4_pro,china,F2,en,0.20833333333333337,-0.08333333333333337,0.7083333333333334,0.25,0.0,0.75,-0.25,-0.75,0.0,0.041666666666666664,0.0,0.125,-0.04166666666666663,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.125
deepseek_v4_pro,china,F3,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_v4_pro,china,F4,en,0.5,0.0,0.9166666666666666,0.6666666666666667,0.25,1.0,-0.6666666666666666,-1.0,-0.25,0.0,0.0,0.0,-0.16666666666666663,-0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_v4_pro,china,F5,en,0.125,0.0,0.375,0.37499999999999994,-0.08333333333333326,0.875,-0.5416666666666666,-0.9583333333333334,0.0,0.0,0.0,0.0,-0.875,-1.0,-0.625,-0.20833333333333337,-0.45833333333333337,0.0,0.20833333333333334,0.041666666666666664,0.4583333333333333,0.0,0.0,0.0
deepseek_v4_pro,china,F6,en,0.08333333333333333,0.0,0.20833333333333334,0.33333333333333337,0.0,0.75,-0.3333333333333333,-0.75,0.0,0.0,0.0,0.0,-0.9166666666666666,-1.0,-0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_v4_pro,china,F7,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0
deepseek_v4_pro,china,F8,en,0.0,0.0,0.0,0.4166666666666667,0.125,0.75,-0.41666666666666663,-0.75,-0.125,0.0,0.0,0.0,-1.0,-1.0,-1.0,-0.5833333333333333,-0.875,-0.25,0.5833333333333334,0.25,0.9166666666666666,0.0,0.0,0.0
deepseek_v4_pro,china,F9,en,0.0,0.0,0.0,0.25,0.08333333333333333,0.5,-0.20833333333333337,-0.41666666666666663,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-0.75,-0.9166666666666666,-0.5,0.7916666666666666,0.5833333333333334,0.9583333333333334,0.0,0.0,0.0
deepseek_v4_pro,china,F10,en,0.16666666666666666,0.0,0.4166666666666667,0.6666666666666666,0.4166666666666667,0.9166666666666666,-0.75,-0.9166666666666666,-0.5416666666666667,0.041666666666666664,0.0,0.125,-0.8333333333333334,-1.0,-0.5833333333333333,-0.33333333333333337,-0.625,-0.08333333333333337,0.25,0.08333333333333333,0.4583333333333333,0.041666666666666664,0.0,0.125
deepseek_v4_pro,china,F11,en,0.37499999999999994,-0.08333333333333337,0.7916666666666666,0.4583333333333333,0.04166666666666663,0.8333333333333333,-0.45833333333333337,-0.8333333333333333,-0.04166666666666663,0.0,0.0,0.0,-0.20833333333333337,-0.5,0.0,-0.125,-0.29166666666666663,0.0,0.125,0.0,0.2916666666666667,0.0,0.0,0.0
deepseek_v4_pro,china,F1,zh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
deepseek_v4_pro,china,F2,zh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_v4_pro,china,F3,zh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_v4_pro,china,F4,zh,0.375,-0.125,0.875,0.45833333333333337,-0.04166666666666663,0.9583333333333334,-0.4583333333333333,-0.9583333333333334,0.041666666666666664,0.0,0.0,0.0,-0.125,-0.375,0.0,-0.04166666666666663,-0.125,0.0,0.041666666666666664,0.0,0.125,0.0,0.0,0.0
