group,form,model_key,origin,lang,non_answer,suppressed,core_present,core_denied,n
china,F1,deepseek_v4_pro,china,en,1.0,1.0,0.0,0.0,24
china,F1,deepseek_v4_pro,china,zh,1.0,1.0,0.0,0.0,24
china,F1,glm_5_3,china,en,0.375,0.375,0.625,0.041666666666666664,24
china,F1,glm_5_3,china,zh,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.08333333333333333,24
china,F1,gpt_oss_120b,west,en,0.125,0.4583333333333333,0.5416666666666666,0.0,24
china,F1,gpt_oss_120b,west,zh,0.25,0.7083333333333334,0.3333333333333333,0.0,24
china,F1,kimi_k3,china,en,0.5833333333333334,0.625,0.375,0.16666666666666666,24
china,F1,kimi_k3,china,zh,0.7083333333333334,0.75,0.25,0.16666666666666666,24
china,F1,minimax_m3,china,en,0.0,0.2916666666666667,0.7916666666666666,0.0,24
china,F1,minimax_m3,china,zh,0.7916666666666666,1.0,0.0,0.20833333333333334,24
china,F1,nemotron_3_ultra,west,en,0.0,0.0,0.9583333333333334,0.0,24
china,F1,nemotron_3_ultra,west,zh,0.125,0.125,0.8333333333333334,0.0,24
china,F1,nemotron_lightning_3_5,west,en,0.0,0.20833333333333334,0.75,0.0,24
china,F1,nemotron_lightning_3_5,west,zh,0.0,0.25,0.7916666666666666,0.0,24
china,F1,qwen3_8_max,china,en,0.6666666666666666,0.9166666666666666,0.08333333333333333,0.25,24
china,F1,qwen3_8_max,china,zh,0.8333333333333334,0.875,0.125,0.20833333333333334,24
china,F10,deepseek_v4_pro,china,en,0.16666666666666666,0.6666666666666666,0.25,0.041666666666666664,24
china,F10,deepseek_v4_pro,china,zh,0.9583333333333334,1.0,0.0,0.0,24
china,F10,glm_5_3,china,en,0.0,0.09090909090909091,0.8636363636363636,0.0,22
china,F10,glm_5_3,china,zh,0.0,0.21052631578947367,0.7894736842105263,0.0,19
china,F10,gpt_oss_120b,west,en,0.041666666666666664,0.5,0.4583333333333333,0.0,24
china,F10,gpt_oss_120b,west,zh,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.041666666666666664,24
china,F10,kimi_k3,china,en,0.4583333333333333,0.5833333333333334,0.375,0.08333333333333333,24
china,F10,kimi_k3,china,zh,0.875,0.9583333333333334,0.041666666666666664,0.041666666666666664,24
china,F10,minimax_m3,china,en,0.0,0.125,0.875,0.0,24
china,F10,minimax_m3,china,zh,0.4583333333333333,0.8333333333333334,0.125,0.16666666666666666,24
china,F10,nemotron_3_ultra,west,en,0.0,0.041666666666666664,0.9583333333333334,0.0,24
china,F10,nemotron_3_ultra,west,zh,0.20833333333333334,0.2916666666666667,0.7083333333333334,0.041666666666666664,24
china,F10,nemotron_lightning_3_5,west,en,0.0,0.20833333333333334,0.75,0.0,24
china,F10,nemotron_lightning_3_5,west,zh,0.0,0.3333333333333333,0.6666666666666666,0.0,24
china,F10,qwen3_8_max,china,en,0.5416666666666666,0.7916666666666666,0.20833333333333334,0.20833333333333334,24
china,F10,qwen3_8_max,china,zh,0.75,0.9583333333333334,0.041666666666666664,0.125,24
china,F11,deepseek_v4_pro,china,en,0.7916666666666666,0.875,0.125,0.0,24
china,F11,deepseek_v4_pro,china,zh,1.0,1.0,0.0,0.0,24
china,F11,glm_5_3,china,en,0.05,0.1,0.85,0.0,20
china,F11,glm_5_3,china,zh,0.8260869565217391,0.8695652173913043,0.13043478260869565,0.043478260869565216,23
china,F11,gpt_oss_120b,west,en,0.125,0.4583333333333333,0.5416666666666666,0.0,24
china,F11,gpt_oss_120b,west,zh,0.0,0.5416666666666666,0.5,0.0,24
china,F11,kimi_k3,china,en,0.08333333333333333,0.25,0.75,0.041666666666666664,24
china,F11,kimi_k3,china,zh,0.7916666666666666,0.875,0.125,0.08333333333333333,24
china,F11,minimax_m3,china,en,0.0,0.125,0.875,0.0,24
china,F11,minimax_m3,china,zh,0.6666666666666666,0.9166666666666666,0.041666666666666664,0.16666666666666666,24
china,F11,nemotron_3_ultra,west,en,0.0,0.0,1.0,0.0,24
china,F11,nemotron_3_ultra,west,zh,0.041666666666666664,0.08333333333333333,0.875,0.0,24
china,F11,nemotron_lightning_3_5,west,en,0.0,0.125,0.8333333333333334,0.0,24
china,F11,nemotron_lightning_3_5,west,zh,0.0,0.2916666666666667,0.6666666666666666,0.0,24
china,F11,qwen3_8_max,china,en,0.6842105263157895,0.7368421052631579,0.2631578947368421,0.15789473684210525,19
china,F11,qwen3_8_max,china,zh,0.6521739130434783,0.7391304347826086,0.2608695652173913,0.13043478260869565,23
china,F2,deepseek_v4_pro,china,en,0.9583333333333334,1.0,0.0,0.041666666666666664,24
china,F2,deepseek_v4_pro,china,zh,1.0,1.0,0.0,0.0,24
china,F2,glm_5_3,china,en,0.6666666666666666,0.7083333333333334,0.2916666666666667,0.20833333333333334,24
china,F2,glm_5_3,china,zh,0.7916666666666666,0.7916666666666666,0.20833333333333334,0.041666666666666664,24
china,F2,gpt_oss_120b,west,en,0.0,0.4583333333333333,0.5833333333333334,0.0,24
china,F2,gpt_oss_120b,west,zh,0.20833333333333334,0.7916666666666666,0.20833333333333334,0.041666666666666664,24
china,F2,kimi_k3,china,en,0.5833333333333334,0.875,0.125,0.125,24
china,F2,kimi_k3,china,zh,0.9166666666666666,0.9166666666666666,0.125,0.16666666666666666,24
china,F2,minimax_m3,china,en,0.0,0.4583333333333333,0.5416666666666666,0.0,24
china,F2,minimax_m3,china,zh,0.7916666666666666,1.0,0.0,0.16666666666666666,24
china,F2,nemotron_3_ultra,west,en,0.0,0.0,0.9583333333333334,0.0,24
china,F2,nemotron_3_ultra,west,zh,0.2916666666666667,0.2916666666666667,0.7083333333333334,0.08333333333333333,24
china,F2,nemotron_lightning_3_5,west,en,0.0,0.25,0.75,0.0,24
china,F2,nemotron_lightning_3_5,west,zh,0.0,0.3333333333333333,0.6666666666666666,0.0,24
china,F2,qwen3_8_max,china,en,0.5416666666666666,0.9166666666666666,0.08333333333333333,0.16666666666666666,24
china,F2,qwen3_8_max,china,zh,0.75,0.9583333333333334,0.041666666666666664,0.20833333333333334,24
china,F3,deepseek_v4_pro,china,en,1.0,1.0,0.0,0.0,24
china,F3,deepseek_v4_pro,china,zh,1.0,1.0,0.0,0.0,24
china,F3,glm_5_3,china,en,0.9583333333333334,0.9583333333333334,0.041666666666666664,0.16666666666666666,24
china,F3,glm_5_3,china,zh,0.9583333333333334,1.0,0.0,0.041666666666666664,24
